"unique_key","created_date","closed_date","descriptor","incident_address","street_name","cross_street_1","cross_street_2","borough","latitude","longitude"
"58795800","2023-09-12T14:53:00.000","2023-09-15T20:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"QUEENS","40.69941923780756","-73.73485915943374"
"58798717","2023-09-12T14:35:00.000","2023-09-29T08:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1121 VINCENT AVENUE","VINCENT AVENUE","LAYTON AVE","FAIRMOUNT AVE","BRONX","40.83552702383303","-73.82088195369134"
"58791521","2023-09-12T14:14:00.000","2023-09-12T14:14:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","433 CARROLL STREET","CARROLL STREET","NEVINS ST","3 AVE","BROOKLYN","40.67764779333199","-73.9877493833793"
"58792949","2023-09-12T14:05:00.000","2023-09-13T11:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","72 HENRY STREET","HENRY STREET","ORANGE ST","PINEAPPLE ST","BROOKLYN","40.698653925841725","-73.99244824195466"
"58791522","2023-09-12T14:05:00.000","2023-09-13T10:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","133-17 LIBERTY AVENUE","LIBERTY AVENUE","133 ST","134 ST","QUEENS","40.69134120313","-73.81303681688864"
"58798681","2023-09-12T13:44:00.000","2023-09-14T14:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","51-31 SIMONSON STREET","SIMONSON STREET","BEND","GRAND AVE","QUEENS","40.73672056050047","-73.88139777283983"
"58791523","2023-09-12T13:20:00.000","2023-09-13T13:40:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.6067007301529","-74.01082224303433"
"58791524","2023-09-12T13:08:00.000","2023-09-14T14:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","95-02 ROCKAWAY BEACH BOULEVARD","ROCKAWAY BEACH BOULEVARD","BEACH 95 ST","BEACH 96 ST","QUEENS","40.585512130735104","-73.81762462441513"
"58795801","2023-09-12T12:56:00.000","2023-09-14T13:40:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.66464295503937","-73.93707553356936"
"58791525","2023-09-12T12:41:00.000","2023-09-23T11:05:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","664 EAST  236 STREET","EAST  236 STREET","MATILDA AVE","RICHARDSON AVE","BRONX","40.895997153459774","-73.85749397989275"
"58795802","2023-09-12T12:14:00.000","2023-09-20T10:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","93 BEACH AVENUE","BEACH AVENUE","3 ST","BEHAN CT","STATEN ISLAND","40.57174586205551","-74.12076418110688"
"58794374","2023-09-12T12:14:00.000","2023-09-13T08:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","69 HAWTHORNE STREET","HAWTHORNE STREET","FLATBUSH AVE","BEDFORD AVE","BROOKLYN","40.657367886742115","-73.95809457812022"
"58798683","2023-09-12T12:14:00.000","2023-09-14T15:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","418 BEACH   67 STREET","BEACH   67 STREET","BEACH CHANNEL DR","THURSBY AVE","QUEENS","40.59347451539951","-73.79621107492106"
"58798682","2023-09-12T12:14:00.000","2023-09-21T12:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","4100 MONTICELLO AVENUE","MONTICELLO AVENUE","EDENWALD AVE","BUSSING AVE","BRONX","40.89418110171197","-73.83938759094468"
"58790055","2023-09-12T12:11:00.000","2023-09-13T07:40:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1 AVENUE M","AVENUE M","DAHILL RD","MC DONALD AVE","BROOKLYN","40.61633556424372","-73.97532676683313"
"58794375","2023-09-12T12:08:00.000","2023-09-15T09:25:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","259 BEACH  134 STREET","BEACH  134 STREET","ROCKAWAY BEACH BLVD","NEWPORT AVE","QUEENS","40.57509617634274","-73.85244430338898"
"58792950","2023-09-12T12:02:00.000","2023-09-15T14:05:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"QUEENS","40.664114277236145","-73.85372523912191"
"58795803","2023-09-12T11:44:00.000","2023-09-24T10:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","140 REVILLE STREET","REVILLE STREET","CITY ISLAND AVE","KING AVE","BRONX","40.84907739250753","-73.78681815036498"
"58794376","2023-09-12T11:35:00.000","2023-09-28T10:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","2823 MILES AVENUE","MILES AVENUE","SWINTON AVE","QUINCY AVE","BRONX","40.81790434150611","-73.81987082110128"
"58788673","2023-09-12T11:29:00.000","2023-09-15T13:05:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","252-03 63 AVENUE","63 AVENUE","252 ST","255 ST","QUEENS","40.756283593503106","-73.72589778468758"
"58797224","2023-09-12T11:23:00.000","2023-09-16T10:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","82-01 164 PLACE","164 PLACE","GOETHALS AVE","82 RD","QUEENS","40.71929029529797","-73.80262652053008"
"58795804","2023-09-12T11:14:00.000","2023-09-13T09:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","102 WASHINGTON AVENUE","WASHINGTON AVENUE","PARK AVE","MYRTLE AVE","BROOKLYN","40.69525698917028","-73.96727738170559"
"58791526","2023-09-12T11:05:00.000","2023-09-13T09:25:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.72579381360185","-73.94263521438333"
"58788674","2023-09-12T10:29:00.000","2023-09-23T11:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","957 FTELEY AVENUE","FTELEY AVENUE","BANYER PL","BRUCKNER BLVD","BRONX","40.82416700811842","-73.87036983881889"
"58797225","2023-09-12T10:29:00.000","2023-09-14T15:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","420 BEACH   69 STREET","BEACH   69 STREET","BEACH CHANNEL DR","GOUVERNEUR AVE","QUEENS","40.59326387869615","-73.79817049689096"
"58790056","2023-09-12T10:23:00.000","2023-09-12T12:35:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","22-02 150 STREET","150 STREET","22 AVE","23 AVE","QUEENS","40.77872583373722","-73.81456432932642"
"58790057","2023-09-12T10:17:00.000","2023-09-13T10:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","96 LUQUER STREET","LUQUER STREET","HAMILTON AVE","CLINTON ST","BROOKLYN","40.67794487315476","-74.00135197224324"
"58798684","2023-09-12T10:11:00.000","2023-09-13T13:40:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"STATEN ISLAND","40.50775362976215","-74.23006322424963"
"58795805","2023-09-12T09:53:00.000","2023-09-13T10:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","180 PROSPECT PARK WEST","PROSPECT PARK WEST","13 ST","14 ST","BROOKLYN","40.6621138270951","-73.97893946902082"
"58797226","2023-09-12T09:50:00.000","2023-09-12T12:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","716 AVENUE M","AVENUE M","E 7 ST","E 8 ST","BROOKLYN","40.61718174646679","-73.96745613288194"
"58798676","2023-09-12T09:44:00.000","2023-09-19T15:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BRONX","40.86409625312072","-73.90311580522042"
"58798677","2023-09-12T09:29:00.000","2023-09-12T10:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.61973853663378","-73.98956827367573"
"58797218","2023-09-12T09:20:00.000","2023-09-22T11:35:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","4576 CARPENTER AVENUE","CARPENTER AVENUE","E 239 ST","E 240 ST","BRONX","40.90257521386629","-73.8545352721496"
"58788668","2023-09-12T09:20:00.000","2023-09-13T14:40:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"MANHATTAN","40.85416834340433","-73.93370435416593"
"58788669","2023-09-12T09:05:00.000","2023-09-14T12:25:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","2033 5 AVENUE","5 AVENUE","E 125 ST","E 126 ST","MANHATTAN","40.80684842342306","-73.94193321528108"
"58797219","2023-09-12T08:50:00.000","2023-09-21T09:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","2996 HOLLAND AVENUE","HOLLAND AVENUE","WILLIAMSBRIDGE RD","ADEE AVE","BRONX","40.86955314385188","-73.86525922168619"
"58797220","2023-09-12T08:47:00.000","2023-09-13T10:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","97 READE STREET","READE STREET","CHURCH ST","W BROADWAY","MANHATTAN","40.71564123734176","-74.0080190242168"
"58788670","2023-09-12T08:26:00.000","2023-09-13T14:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"MANHATTAN","40.80641492221885","-73.94226230536307"
"58791517","2023-09-12T08:08:00.000","2023-09-13T12:40:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","408 PARK AVENUE","PARK AVENUE","TAAFFE PL","KENT AVE","BROOKLYN","40.69634995336768","-73.96029152957367"
"58795795","2023-09-12T08:02:00.000","2023-09-13T14:45:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","65-04 110 STREET","110 STREET","65 AVE","65 RD","QUEENS","40.73210668145798","-73.84658691222266"
"58791518","2023-09-12T07:59:00.000","2023-09-18T12:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"QUEENS","40.68750718953244","-73.8066581162885"
"58792943","2023-09-12T07:02:00.000","2023-09-12T10:00:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.58956382320933","-73.95951251344368"
"58795796","2023-09-12T00:23:00.000","2023-09-12T08:50:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","371 WADSWORTH AVENUE","WADSWORTH AVENUE","W 191 ST","W 192 ST","MANHATTAN","40.85640861904781","-73.93006911226374"
"58785838","2023-09-11T21:02:00.000","2023-09-12T11:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","3819 AVENUE P","AVENUE P","E 38 ST","RYDER ST","BROOKLYN","40.617350230859095","-73.9369724338454"
"58787247","2023-09-11T20:59:00.000","2023-09-12T06:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.613052412037106","-73.94911800917303"
