BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,empirical_estimate_ct,p_y,p_y_CI_lower,p_y_CI_upper,empirical_estimate_p_alop,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,n_children,n_elderly,total_households,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_1_frac,dep_moderate_2_area,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Queens,4129103,Oakland Gardens-Hollis Hills,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),4411,0.0126582278481012,0.039856147326961,0.0004302169127125,0.1848080030834962,0.0126582278481012,0.6956313682595996,0.0334231300259454,0.9999999023812984,4444,2319,76,871,1082,1069,857,1994,1846,1671,74500,576,943,634,284,81.0,160.0,120.35644586606205,4939560.897749882,0.0,19988.97107228473,0.004046710119798362,19988.97107228473,0.004046710119798362,36081129103,0,1,0,0,0
Manhattan,1023300,Hamilton Heights-Sugar Hill,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),4109,0.0,0.0014214010003895,8.094402459851189e-06,0.0091439131732077,0.0,0.2745262394603652,0.0031195759742782,0.971154072764292,7371,1806,1550,3310,553,1515,516,2563,2330,2323,86769,702,1791,898,135,0.0,130.0,70.18231493299298,2507230.3961782465,0.0,0.0,0.0,0.0,0.0,36061023300,0,0,0,0,0
Manhattan,1023700,Hamilton Heights-Sugar Hill,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),4109,0.0,0.0018370195661099,1.3997613274186136e-05,0.0114321291448314,0.0,0.3545248516216665,0.0064182615717811,0.9949535486049912,6738,1355,1822,3148,152,1303,882,2572,2310,2227,47333,997,1063,635,455,0.0,166.0,95.04950289975145,2896788.491573466,0.0,0.0,0.0,0.0,0.0,36061023700,0,0,0,0,0
Bronx,2041400,Wakefield-Woodlawn,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),4212,0.0024390243902439,0.0048504319276108,1.598707055416825e-05,0.0270119814392669,0.0024390243902439,0.5197581637205183,0.006533315800917,0.9999866932537742,4842,561,2653,943,220,591,855,1863,1712,1686,63603,1336,984,176,0,0.0,176.0,119.20443995963672,5946472.536889427,0.0,0.0,0.0,0.0,0.0,36005041400,1,0,0,0,0
Bronx,2041800,Wakefield-Woodlawn,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),4212,0.003831417624521,0.0038807516811398,9.875022357633486e-05,0.0205008611781908,0.003831417624521,0.4369524441034922,0.0254457392640763,0.9955119299898249,3899,152,1700,1453,198,1120,497,1273,983,1180,58090,603,524,110,131,0.0,181.0,128.36590358568455,2930550.242109475,0.0,0.0,0.0,0.0,0.0,36005041800,0,0,0,0,0
Queens,4053501,Maspeth,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),4405,0.0,0.0034455737928347,0.0001057737573528,0.0173917690406601,0.0,0.4878915548746241,0.0362438702111181,0.9978084119076048,1272,447,0,766,59,263,91,471,397,416,82697,358,114,116,55,15.0,72.0,39.55443064398288,1916283.4157113712,0.0,58388.90996821588,0.030469871778617093,73333.77011820463,0.03826874955810299,36081053501,0,0,0,0,0
Queens,4052500,Maspeth,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),4405,0.0,0.0027443180597749,4.4102218062789145e-05,0.0162493028759717,0.0,0.3454982816538887,0.0117500773533786,0.9876064923273732,2575,1261,17,1067,145,545,307,811,769,759,76827,791,228,137,79,21.0,112.0,58.394528735632186,2175165.914581598,0.0,57572.86194197238,0.0264682622856596,76289.07272942958,0.03507276029750774,36081052500,0,0,0,0,0
Queens,4059502,Maspeth,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),4405,0.0083333333333333,0.0203875292502238,0.0014716276230946,0.0675431151194103,0.0083333333333333,1.0,1.0,1.0,3220,580,17,2480,143,782,233,903,837,846,59386,238,601,69,126,24.0,103.0,71.51815075376885,2487251.100251145,0.0,17674.101629585504,0.007105877499783153,43053.176221210844,0.01730954153236223,36081059502,0,0,0,0,0
Bronx,2016500,Claremont Village-Claremont (East),BX03 Morrisania-Crotona Park East (CD 3 Approximation),4263,0.0,0.0011569311143494,1.943055478314656e-05,0.0065769791271942,0.0,0.284627107750232,0.0085516137960992,0.9458840612841064,1134,4,673,418,0,410,59,333,321,299,46179,182,101,19,21,24.0,103.0,50.60679658250936,2083442.980457092,0.0,37351.88753063565,0.017927962454936455,89771.79521862254,0.043088193946602404,36005016500,0,0,0,0,0
Bronx,2016700,Claremont Village-Claremont (East),BX03 Morrisania-Crotona Park East (CD 3 Approximation),4263,0.0,0.0017248415032038,1.7710557053727603e-05,0.0104444251538279,0.0,0.252472025678886,0.0048938536322313,0.9454326779117298,3599,30,1431,2059,0,1141,238,1150,1010,1050,41500,606,268,42,159,22.0,86.0,44.05301117922827,2218086.7819499625,0.0,13132.25532986318,0.0059205327026557375,13132.25532986318,0.0059205327026557375,36005016700,0,0,1,0,0
Queens,4002500,Queensbridge-Ravenswood-Dutch Kills,QN01 Astoria-Queensbridge (CD 1 Equivalent),4401,0.0,0.001210009019805,2.0093654597463933e-05,0.0066783289104196,0.0,0.4658219173255052,0.0202871236911461,0.9989242564323432,5063,124,1802,2015,827,904,1014,2886,1835,2026,21667,1851,235,172,623,8.0,28.0,16.03851753805427,2266377.34646172,0.0,19691.395082230858,0.008688489193105097,21294.764161659412,0.009395948205582318,36081002500,0,1,1,0,0
Manhattan,1021400,Harlem (North),MN10 Harlem (CD 10 Equivalent),4110,0.0,0.0015565806991661,2.5134236628120395e-05,0.0094483003432077,0.0,0.2239991986079059,0.0060141348518977,0.8975491612925852,3037,350,2150,315,95,215,651,2109,1753,1751,67083,766,644,806,23,6.0,18.0,11.309120924473794,1453440.483248082,0.0,1977.5885707659497,0.0013606257659388471,1977.5885707659497,0.0013606257659388471,36061021400,0,0,0,0,0
Bronx,2041100,Bedford Park,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),4207,0.0,0.0026614095334501,2.888950926752694e-05,0.0171311685264454,0.0,0.243727298100986,0.0048992468653918,0.947003679418188,3752,188,482,2800,195,829,476,1453,1209,1290,42484,778,74,224,486,118.0,163.0,135.99427437208948,1309721.7037526926,0.0,0.0,0.0,0.0,0.0,36005041100,0,0,0,0,0
Bronx,2041300,Bedford Park,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),4207,0.0,0.0024841706709984,5.011111829671796e-05,0.0147005428396543,0.0,0.3015746041707035,0.0113605967212563,0.9658367218782826,8232,847,747,6107,216,1957,811,3053,2876,2850,62386,1509,775,529,580,103.0,165.0,132.37311753041428,1865499.374375825,0.0,4680.373022601306,0.0025089116013063822,4680.373022601306,0.0025089116013063822,36005041300,0,0,0,0,0
Bronx,2030202,Co-op City,BX10 Co-op City-Throgs Neck (CD 10 Approximation),4210,0.0,0.0042702553978045,5.8505006462374455e-05,0.0233185685251773,0.0,0.4305612959178541,0.0143472425028635,0.99705575093275,5417,156,3841,1314,1,987,1411,2542,2096,2162,59107,1475,893,298,159,0.0,38.0,8.662975344755537,3349218.670436822,0.0,0.0,0.0,0.0,0.0,36005030202,0,0,0,0,0
Bronx,2046205,Co-op City,BX10 Co-op City-Throgs Neck (CD 10 Approximation),4210,0.0006920415224913,0.0029155385720478,0.0002036804987666,0.0108437023537653,0.0006920415224913,0.8399014476434555,0.2549830418430117,0.9999998561830544,2702,57,1432,1016,197,158,1140,1926,1248,1433,46401,524,310,201,157,6.0,60.0,18.26994314083252,9426471.483596534,0.0,0.0,0.0,0.0,0.0,36005046205,0,0,0,0,0
Queens,4157101,Bellerose,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),4413,0.0023201856148491,0.0019653129192893,2.5936590100390963e-05,0.0106194327025942,0.0023201856148491,0.5244957286978812,0.02210955087948,0.9998992522932306,8501,1561,176,1438,4815,1399,2544,2515,2214,2365,102465,1657,1940,945,170,0.0,124.0,102.33391222575288,13186430.681196664,0.0,214295.4578136804,0.01625121027779393,292395.0860898835,0.02217393722069366,36081157101,0,0,0,0,0
Queens,4157102,Bellerose,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),4413,0.0,0.0022117172290732,1.1100077493827733e-05,0.0140031897091049,0.0,0.3472127741373558,0.0042865402786096,0.9957359489776172,2105,297,43,438,1256,464,481,595,554,545,119196,456,337,123,40,87.0,126.0,103.06365265653004,3458893.212283574,0.0,28221.04000647623,0.008158979845418413,114294.83827409243,0.03304376031853107,36081157102,0,0,0,0,0
