geoid,tract_id,empirical_estimate,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,n_images_by_area
36061012200.0,36061012200.0,0.0008665511265164644,0.36904689463719903,0.009864325983908486,0.995642188842661,1154
36061012500.0,36061012500.0,0.0029791459781529296,0.13137965064789028,0.0014884415090605952,0.7735987948606252,1007
36061012601.0,36061012601.0,0.0051813471502590676,0.3152487172216275,0.006333696638881064,0.9887315234793925,193
36061012602.0,36061012602.0,0.0,0.33112429972398294,0.008726444270239614,0.9819484701262899,412
36061012700.0,36061012700.0,0.0018814675446848542,0.07935421147000932,0.0014949154968503825,0.463080795864501,1063
36061013000.0,36061013000.0,0.0,0.23794766093008485,0.005940652793999132,0.9177364848116238,947
36061013100.0,36061013100.0,0.0025167785234899327,0.1720215465768287,0.001812621981788254,0.973816228366097,1192
36061013201.0,36061013201.0,0.015463917525773196,1.0,1.0,1.0,388
36061013202.0,36061013202.0,0.023255813953488372,1.0,1.0,1.0,344
36061013300.0,36061013300.0,0.002244668911335578,0.17252486148531437,0.003053498917578723,0.8435288034907923,891
36061013601.0,36061013601.0,0.007220216606498195,1.0,1.0,1.0,277
36061013602.0,36061013602.0,0.0,0.5862685401135438,0.045769009771561606,0.9997267031109698,209
36061014801.0,36061014801.0,0.0,0.024520793053748727,0.0004437132909662661,0.14674887425181532,139
36061014900.0,36061014900.0,0.0,0.36545632009741286,0.012334630665029775,0.9857808754417411,1147
36061015001.0,36061015001.0,0.0,0.06283652904888488,0.0008219569358416918,0.40434246550197495,310
36061015002.0,36061015002.0,0.0,0.2792998323339524,0.006544194187743596,0.965882115288377,424
36061015101.0,36061015101.0,0.00784313725490196,0.6422015527999434,0.01409703294239229,0.9999988058863492,255
36061015301.0,36061015301.0,0.0,0.1626744303245125,0.0012648129419477988,0.8729801062953968,347
36061015302.0,36061015302.0,0.002288329519450801,0.14122641598021488,0.0015619095901420216,0.7775559065149417,437
36061015401.0,36061015401.0,0.0,0.1497849463301277,0.0036439074786310424,0.7243870772440671,131
36061015402.0,36061015402.0,0.0,0.17988317978856203,0.0015490504563033332,0.8785615601535925,173
36061015403.0,36061015403.0,0.0,0.12980880320674787,0.0011485343291119888,0.7547865792937156,91
36061015501.0,36061015501.0,0.0,0.24904018693378813,0.005088585887142819,0.9278770122175968,233
36061015601.0,36061015601.0,0.0,0.3530475257152592,0.015601244928283062,0.9807782829576226,346
