                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[135]                                   0.000  0.000   0.000    0.001      0.000    0.000    3805.0    6362.0   1.00
p_y[136]                                   0.001  0.001   0.000    0.002      0.000    0.000    3516.0    6496.0   1.00
p_y[137]                                   0.002  0.003   0.000    0.007      0.000    0.000    4262.0    5347.0   1.00
p_y[138]                                   0.001  0.003   0.000    0.005      0.000    0.000    3404.0    8238.0   1.00
p_y[139]                                   0.001  0.002   0.000    0.003      0.000    0.000    4076.0    6732.0   1.00
p_y[140]                                   0.001  0.002   0.000    0.002      0.000    0.000    3563.0    5295.0   1.00
p_y[141]                                   0.000  0.001   0.000    0.001      0.000    0.000    4238.0    7489.0   1.00
p_y[142]                                   0.001  0.002   0.000    0.003      0.000    0.000    4381.0    7546.0   1.00
p_y[143]                                   0.000  0.001   0.000    0.001      0.000    0.000    4632.0    6776.0   1.00
p_y[144]                                   0.001  0.002   0.000    0.002      0.000    0.000    4196.0    9243.0   1.00
p_y[145]                                   0.001  0.002   0.000    0.002      0.000    0.000    5164.0    9132.0   1.00
p_y[146]                                   0.069  0.027   0.025    0.120      0.000    0.000    4501.0    7247.0   1.00
p_y[147]                                   0.025  0.015   0.003    0.052      0.000    0.000    5751.0    7323.0   1.00
p_y[148]                                   0.002  0.008   0.000    0.007      0.000    0.001    4893.0    6957.0   1.00
p_y[149]                                   0.001  0.002   0.000    0.004      0.000    0.000    3422.0    4251.0   1.00
p_y[150]                                   0.001  0.003   0.000    0.005      0.000    0.000    3674.0    5940.0   1.00
p_y[151]                                   0.001  0.003   0.000    0.005      0.000    0.000    5111.0    7038.0   1.00
p_y[152]                                   0.001  0.002   0.000    0.002      0.000    0.000    4969.0    7966.0   1.00
p_y[153]                                   0.002  0.005   0.000    0.008      0.000    0.000    4426.0    7050.0   1.00
p_y[154]                                   0.001  0.002   0.000    0.003      0.000    0.000    3621.0    7171.0   1.00
p_y[155]                                   0.095  0.162   0.000    0.423      0.002    0.003    8074.0    8828.0   1.00
p_y[156]                                   0.000  0.001   0.000    0.001      0.000    0.000    3662.0    6114.0   1.00
p_y[157]                                   0.006  0.011   0.000    0.023      0.000    0.000    6480.0    9619.0   1.00
p_y[158]                                   0.002  0.004   0.000    0.008      0.000    0.000    6118.0    9346.0   1.00
p_y[159]                                   0.007  0.020   0.000    0.025      0.000    0.001    6165.0    8204.0   1.00
p_y[160]                                   0.003  0.004   0.000    0.010      0.000    0.000    5917.0    9421.0   1.00
p_y[161]                                   0.000  0.002   0.000    0.001      0.000    0.000    4085.0    8097.0   1.00
p_y[162]                                   0.002  0.004   0.000    0.008      0.000    0.000    5463.0    8176.0   1.00
p_y[163]                                   0.002  0.006   0.000    0.008      0.000    0.001    4435.0    7503.0   1.00
p_y[164]                                   0.000  0.001   0.000    0.001      0.000    0.000    3151.0    5138.0   1.00
p_y[165]                                   0.001  0.002   0.000    0.003      0.000    0.000    4372.0    6786.0   1.00
p_y[166]                                   0.000  0.001   0.000    0.001      0.000    0.000    4358.0    6563.0   1.00
p_y[167]                                   0.002  0.003   0.000    0.006      0.000    0.000    4878.0    8189.0   1.00
p_y[168]                                   0.001  0.004   0.000    0.004      0.000    0.000    5556.0    8237.0   1.00
p_y[169]                                   0.002  0.005   0.000    0.005      0.000    0.000    5439.0    8442.0   1.00
p_y[170]                                   0.006  0.010   0.000    0.022      0.000    0.000    4924.0    8197.0   1.00
p_y[171]                                   0.002  0.003   0.000    0.007      0.000    0.000    4908.0    8880.0   1.00
p_y[172]                                   0.047  0.038   0.000    0.114      0.000    0.001    5567.0    5152.0   1.00
p_y[173]                                   0.002  0.003   0.000    0.007      0.000    0.000    5358.0    7373.0   1.00
p_y[174]                                   0.001  0.003   0.000    0.004      0.000    0.000    5453.0    8540.0   1.00
p_y[175]                                   0.001  0.002   0.000    0.003      0.000    0.000    5054.0    6164.0   1.00
p_y[176]                                   0.006  0.007   0.000    0.018      0.000    0.000    4197.0    6386.0   1.00
p_y[177]                                   0.001  0.002   0.000    0.002      0.000    0.000    3885.0    6505.0   1.00
p_y[178]                                   0.001  0.002   0.000    0.004      0.000    0.000    5044.0    4299.0   1.00
p_y[179]                                   0.001  0.001   0.000    0.002      0.000    0.000    4220.0    6683.0   1.00
p_y[180]                                   0.000  0.002   0.000    0.001      0.000    0.000    4592.0    8052.0   1.00
p_y[181]                                   0.000  0.001   0.000    0.002      0.000    0.000    4644.0    6550.0   1.00
p_y[182]                                   0.001  0.002   0.000    0.002      0.000    0.000    4166.0    6495.0   1.00
p_y[183]                                   0.001  0.002   0.000    0.003      0.000    0.000    4069.0    7394.0   1.00
p_y[184]                                   0.002  0.003   0.000    0.007      0.000    0.000    4280.0    5816.0   1.00
p_y[185]                                   0.065  0.062   0.000    0.178      0.001    0.001    6401.0    6291.0   1.00
p_y[186]                                   0.001  0.001   0.000    0.003      0.000    0.000    3535.0    7946.0   1.00
p_y[187]                                   0.000  0.002   0.000    0.001      0.000    0.000    4951.0    7970.0   1.00
p_y[188]                                   0.000  0.001   0.000    0.001      0.000    0.000    4193.0    6806.0   1.00
p_y[189]                                   0.001  0.002   0.000    0.003      0.000    0.000    4257.0    9557.0   1.00
p_y[190]                                   0.001  0.003   0.000    0.005      0.000    0.000    3908.0    6427.0   1.00
p_y[191]                                   0.000  0.002   0.000    0.001      0.000    0.000    3262.0    5501.0   1.00
p_y[192]                                   0.001  0.002   0.000    0.003      0.000    0.000    4038.0    6973.0   1.00
p_y[193]                                   0.001  0.003   0.000    0.003      0.000    0.000    4412.0    6697.0   1.00
p_y[194]                                   0.001  0.003   0.000    0.005      0.000    0.000    4265.0    6496.0   1.00
p_y[195]                                   0.001  0.002   0.000    0.003      0.000    0.000    4000.0    6749.0   1.00
p_y[196]                                   0.002  0.004   0.000    0.006      0.000    0.000    4128.0    7108.0   1.00
p_y[197]                                   0.000  0.001   0.000    0.002      0.000    0.000    3433.0    6391.0   1.00
p_y[198]                                   0.000  0.000   0.000    0.001      0.000    0.000    3688.0    6304.0   1.00
p_y[199]                                   0.001  0.002   0.000    0.002      0.000    0.000    4187.0    7876.0   1.00
p_y[200]                                   0.001  0.003   0.000    0.004      0.000    0.000    3611.0    6749.0   1.00
p_y[201]                                   0.002  0.004   0.000    0.008      0.000    0.000    4633.0    8150.0   1.00
p_y[202]                                   0.001  0.003   0.000    0.004      0.000    0.000    4272.0    7114.0   1.00
p_y[203]                                   0.000  0.001   0.000    0.001      0.000    0.000    4419.0    6504.0   1.00
p_y[204]                                   0.004  0.010   0.000    0.014      0.000    0.001    2493.0    4777.0   1.00
p_y[205]                                   0.004  0.008   0.000    0.015      0.000    0.000    3668.0    6650.0   1.00
p_y[206]                                   0.001  0.002   0.000    0.002      0.000    0.000    3011.0    5752.0   1.00
p_y[207]                                   0.003  0.010   0.000    0.013      0.000    0.000    2328.0    5556.0   1.00
p_y[208]                                   0.001  0.004   0.000    0.005      0.000    0.000    3634.0    5039.0   1.00
p_y[209]                                   0.000  0.001   0.000    0.001      0.000    0.000    3896.0    7302.0   1.00
p_y[210]                                   0.001  0.002   0.000    0.002      0.000    0.000    4141.0    8209.0   1.00
p_y[211]                                   0.001  0.002   0.000    0.002      0.000    0.000    4729.0    7677.0   1.00
p_y[212]                                   0.001  0.001   0.000    0.002      0.000    0.000    2768.0    5566.0   1.00
p_y[213]                                   0.001  0.005   0.000    0.005      0.000    0.000    5450.0    9458.0   1.00
p_y[214]                                   0.001  0.001   0.000    0.002      0.000    0.000    3865.0    7047.0   1.00
p_y[215]                                   0.002  0.005   0.000    0.007      0.000    0.000    4105.0    7085.0   1.00
p_y[216]                                   0.001  0.002   0.000    0.003      0.000    0.000    2359.0    4902.0   1.00
p_y[217]                                   0.002  0.003   0.000    0.006      0.000    0.000    4510.0    6762.0   1.00
p_y[218]                                   0.000  0.001   0.000    0.001      0.000    0.000    2957.0    6655.0   1.00
p_y[219]                                   0.001  0.002   0.000    0.003      0.000    0.000    3021.0    6325.0   1.00
p_y[220]                                   0.001  0.002   0.000    0.002      0.000    0.000    3304.0    7056.0   1.00
p_y[221]                                   0.004  0.004   0.000    0.012      0.000    0.000    5908.0    5434.0   1.00
p_y[222]                                   0.001  0.003   0.000    0.004      0.000    0.000    2880.0    5425.0   1.00
p_y[223]                                   0.001  0.006   0.000    0.004      0.000    0.001    3690.0    8400.0   1.00
p_y[224]                                   0.001  0.004   0.000    0.005      0.000    0.000    2731.0    6105.0   1.00
p_y[225]                                   0.001  0.003   0.000    0.003      0.000    0.000    2581.0    5566.0   1.00
p_y[226]                                   0.001  0.001   0.000    0.003      0.000    0.000    3149.0    6819.0   1.00
p_y[227]                                   0.006  0.015   0.000    0.023      0.000    0.001    4440.0    6581.0   1.00
p_y[228]                                   0.008  0.014   0.000    0.031      0.000    0.000    1961.0    5420.0   1.00
p_y[229]                                   0.001  0.002   0.000    0.003      0.000    0.000    2291.0    4486.0   1.00
p_y[230]                                   0.000  0.001   0.000    0.001      0.000    0.000    2262.0    5706.0   1.00
p_y[231]                                   0.001  0.003   0.000    0.005      0.000    0.000    3191.0    5830.0   1.00
p_y[232]                                   0.000  0.000   0.000    0.001      0.000    0.000    2362.0    4771.0   1.00
p_y[233]                                   0.002  0.004   0.000    0.006      0.000    0.000    4277.0    6857.0   1.00
p_y[234]                                   0.000  0.001   0.000    0.001      0.000    0.000    3049.0    5987.0   1.00
p_y[235]                                   0.002  0.004   0.000    0.005      0.000    0.000    4964.0    7927.0   1.00
p_y[236]                                   0.000  0.001   0.000    0.001      0.000    0.000    3356.0    6082.0   1.00
p_y[237]                                   0.000  0.001   0.000    0.001      0.000    0.000    3279.0    5839.0   1.00
p_y[238]                                   0.001  0.002   0.000    0.003      0.000    0.000    2639.0    4530.0   1.00
p_y[239]                                   0.001  0.003   0.000    0.004      0.000    0.000    2999.0    5751.0   1.00
p_y[240]                                   0.001  0.002   0.000    0.003      0.000    0.000    3974.0    7194.0   1.00
p_y[241]                                   0.000  0.001   0.000    0.001      0.000    0.000    3325.0    7778.0   1.00
p_y[242]                                   0.001  0.003   0.000    0.003      0.000    0.000    3823.0    7015.0   1.00
p_y[243]                                   0.001  0.002   0.000    0.004      0.000    0.000    3093.0    5174.0   1.00
p_y[244]                                   0.001  0.002   0.000    0.004      0.000    0.000    4013.0    6902.0   1.00
p_y[245]                                   0.001  0.004   0.000    0.005      0.000    0.000    3476.0    7681.0   1.00
p_y[246]                                   0.001  0.003   0.000    0.005      0.000    0.000    4754.0    7539.0   1.00
p_y[247]                                   0.000  0.001   0.000    0.001      0.000    0.000    3571.0    5612.0   1.00
p_y[248]                                   0.004  0.007   0.000    0.013      0.000    0.000    4651.0    6787.0   1.00
p_y[249]                                   0.001  0.002   0.000    0.002      0.000    0.000    3478.0    7296.0   1.00
p_y[250]                                   0.001  0.004   0.000    0.005      0.000    0.000    5149.0    6868.0   1.00
p_y[251]                                   0.001  0.001   0.000    0.002      0.000    0.000    2972.0    5010.0   1.00
p_y[252]                                   0.011  0.023   0.000    0.044      0.000    0.001    5747.0    7677.0   1.00
p_y[253]                                   0.001  0.002   0.000    0.003      0.000    0.000    5509.0    7429.0   1.00
p_y[254]                                   0.001  0.002   0.000    0.002      0.000    0.000    4367.0    6673.0   1.00
p_y[255]                                   0.003  0.006   0.000    0.012      0.000    0.000    4820.0    7227.0   1.00
p_y[256]                                   0.003  0.003   0.000    0.008      0.000    0.000    5641.0    7237.0   1.00
p_y[257]                                   0.007  0.009   0.000    0.023      0.000    0.000    6317.0    7317.0   1.00
p_y[258]                                   0.004  0.006   0.000    0.014      0.000    0.000    7256.0   10094.0   1.00
p_y[259]                                   0.001  0.004   0.000    0.005      0.000    0.000    5770.0    8702.0   1.00
p_y[260]                                   0.010  0.017   0.000    0.035      0.000    0.000    5744.0    8255.0   1.00
p_y[261]                                   0.001  0.002   0.000    0.002      0.000    0.000    4472.0    7072.0   1.00
p_y[262]                                   0.005  0.004   0.000    0.012      0.000    0.000    4748.0    6538.0   1.00
p_y[263]                                   0.003  0.006   0.000    0.011      0.000    0.000    5958.0    7793.0   1.00
p_y[264]                                   0.003  0.009   0.000    0.012      0.000    0.000    5104.0    8068.0   1.00
p_y[265]                                   0.001  0.003   0.000    0.005      0.000    0.000    6631.0    9492.0   1.00
p_y[266]                                   0.002  0.005   0.000    0.008      0.000    0.000    4099.0    6196.0   1.00
p_y[267]                                   0.045  0.059   0.000    0.150      0.001    0.001    3874.0    4502.0   1.00
p_y[268]                                   0.002  0.006   0.000    0.007      0.000    0.000    5978.0    7943.0   1.00
p_y[269]                                   0.001  0.003   0.000    0.005      0.000    0.000    5019.0    5648.0   1.00
p_y[270]                                   0.001  0.002   0.000    0.003      0.000    0.000    3984.0    6253.0   1.00
p_y[271]                                   0.001  0.003   0.000    0.003      0.000    0.000    4035.0    9000.0   1.00
p_y[272]                                   0.021  0.043   0.000    0.084      0.000    0.001    5847.0    7033.0   1.00
p_y[273]                                   0.001  0.002   0.000    0.004      0.000    0.000    3289.0    7086.0   1.00
p_y[274]                                   0.001  0.002   0.000    0.004      0.000    0.000    4126.0    8524.0   1.00
p_y[275]                                   0.001  0.002   0.000    0.004      0.000    0.000    2920.0    5138.0   1.00
p_y[276]                                   0.001  0.002   0.000    0.003      0.000    0.000    3374.0    4278.0   1.00
p_y[277]                                   0.002  0.005   0.000    0.008      0.000    0.000    4629.0    7669.0   1.00
p_y[278]                                   0.002  0.005   0.000    0.007      0.000    0.000    4808.0    9101.0   1.00
p_y[279]                                   0.002  0.004   0.000    0.006      0.000    0.000    5118.0    8597.0   1.00
p_y[280]                                   0.001  0.004   0.000    0.005      0.000    0.001    5136.0    7894.0   1.00
p_y[281]                                   0.002  0.006   0.000    0.009      0.000    0.000    4294.0    7186.0   1.00
p_y[282]                                   0.001  0.003   0.000    0.003      0.000    0.000    4575.0    7825.0   1.00
p_y[283]                                   0.002  0.004   0.000    0.007      0.000    0.000    3337.0    6455.0   1.00
p_y[284]                                   0.001  0.001   0.000    0.002      0.000    0.000    3463.0    7369.0   1.00
p_y[285]                                   0.003  0.008   0.000    0.012      0.000    0.000    6711.0    9873.0   1.00
p_y[286]                                   0.001  0.003   0.000    0.004      0.000    0.000    3803.0    7352.0   1.00
p_y[287]                                   0.001  0.003   0.000    0.005      0.000    0.000    3402.0    6071.0   1.00
p_y[288]                                   0.001  0.002   0.000    0.002      0.000    0.000    4227.0    7375.0   1.00
p_y[289]                                   0.001  0.003   0.000    0.005      0.000    0.000    4750.0    5356.0   1.00
p_y[290]                                   0.000  0.001   0.000    0.001      0.000    0.000    4958.0    8548.0   1.00
p_y[291]                                   0.003  0.006   0.000    0.010      0.000    0.000    4943.0    7409.0   1.00
