,desc_1,desc_2,desc_3,desc_4,desc_5
S1501_C01_039E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,Bachelor's degree or higher
S1501_C01_040E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,
S1501_C01_041E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,High school graduate or higher
S1501_C01_042E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,Bachelor's degree or higher
S1501_C01_043E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,
S1501_C01_044E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,High school graduate or higher
S1501_C01_045E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,Bachelor's degree or higher
S1501_C01_046E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,
S1501_C01_047E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,High school graduate or higher
S1501_C01_048E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,Bachelor's degree or higher
S1501_C01_049E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,
S1501_C01_050E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,High school graduate or higher
S1501_C01_051E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,Bachelor's degree or higher
S1501_C01_052E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,
S1501_C01_053E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,High school graduate or higher
S1501_C01_054E,Estimate,Total,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,Bachelor's degree or higher
S1501_C01_055E,Estimate,Total,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Less than high school graduate,
S1501_C01_056E,Estimate,Total,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,High school graduate (includes equivalency),
S1501_C01_057E,Estimate,Total,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Some college or associate's degree,
S1501_C01_058E,Estimate,Total,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Bachelor's degree or higher,
S1501_C01_059E,Estimate,Total,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,
S1501_C01_060E,Estimate,Total,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,Less than high school graduate
S1501_C01_061E,Estimate,Total,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,High school graduate (includes equivalency)
S1501_C01_062E,Estimate,Total,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,Some college or associate's degree
S1501_C01_063E,Estimate,Total,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,Bachelor's degree
S1501_C01_064E,Estimate,Total,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,Graduate or professional degree
S1501_C02_001E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,
S1501_C02_002E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,Less than high school graduate
S1501_C02_003E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,High school graduate (includes equivalency)
S1501_C02_004E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,Some college or associate's degree
S1501_C02_005E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,Bachelor's degree or higher
S1501_C02_006E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,
S1501_C02_007E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Less than 9th grade
S1501_C02_008E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,"9th to 12th grade, no diploma"
S1501_C02_009E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,High school graduate (includes equivalency)
S1501_C02_010E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,"Some college, no degree"
S1501_C02_011E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Associate's degree
S1501_C02_012E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Bachelor's degree
S1501_C02_013E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Graduate or professional degree
S1501_C02_014E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,High school graduate or higher
S1501_C02_015E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Bachelor's degree or higher
S1501_C02_016E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,
S1501_C02_017E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,High school graduate or higher
S1501_C02_018E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,Bachelor's degree or higher
S1501_C02_019E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,
S1501_C02_020E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,High school graduate or higher
S1501_C02_021E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,Bachelor's degree or higher
S1501_C02_022E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,
S1501_C02_023E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,High school graduate or higher
S1501_C02_024E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,Bachelor's degree or higher
S1501_C02_025E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,
S1501_C02_026E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,High school graduate or higher
S1501_C02_027E,Estimate,Percent,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,Bachelor's degree or higher
S1501_C02_028E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,
S1501_C02_029E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,High school graduate or higher
S1501_C02_030E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,Bachelor's degree or higher
S1501_C02_031E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",
S1501_C02_032E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",High school graduate or higher
S1501_C02_033E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",Bachelor's degree or higher
S1501_C02_034E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,
S1501_C02_035E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,High school graduate or higher
S1501_C02_036E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,Bachelor's degree or higher
S1501_C02_037E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,
S1501_C02_038E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,High school graduate or higher
S1501_C02_039E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,Bachelor's degree or higher
S1501_C02_040E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,
S1501_C02_041E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,High school graduate or higher
S1501_C02_042E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,Bachelor's degree or higher
S1501_C02_043E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,
S1501_C02_044E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,High school graduate or higher
S1501_C02_045E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,Bachelor's degree or higher
S1501_C02_046E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,
S1501_C02_047E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,High school graduate or higher
S1501_C02_048E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,Bachelor's degree or higher
S1501_C02_049E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,
S1501_C02_050E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,High school graduate or higher
S1501_C02_051E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,Bachelor's degree or higher
S1501_C02_052E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,
S1501_C02_053E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,High school graduate or higher
S1501_C02_054E,Estimate,Percent,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,Bachelor's degree or higher
S1501_C02_055E,Estimate,Percent,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Less than high school graduate,
S1501_C02_056E,Estimate,Percent,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,High school graduate (includes equivalency),
S1501_C02_057E,Estimate,Percent,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Some college or associate's degree,
S1501_C02_058E,Estimate,Percent,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Bachelor's degree or higher,
S1501_C02_059E,Estimate,Percent,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,
S1501_C02_060E,Estimate,Percent,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,Less than high school graduate
S1501_C02_061E,Estimate,Percent,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,High school graduate (includes equivalency)
S1501_C02_062E,Estimate,Percent,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,Some college or associate's degree
S1501_C02_063E,Estimate,Percent,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,Bachelor's degree
S1501_C02_064E,Estimate,Percent,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,Graduate or professional degree
S1501_C03_001E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,
S1501_C03_002E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,Less than high school graduate
S1501_C03_003E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,High school graduate (includes equivalency)
S1501_C03_004E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,Some college or associate's degree
S1501_C03_005E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,Bachelor's degree or higher
S1501_C03_006E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,
S1501_C03_007E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Less than 9th grade
S1501_C03_008E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,"9th to 12th grade, no diploma"
S1501_C03_009E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,High school graduate (includes equivalency)
S1501_C03_010E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,"Some college, no degree"
S1501_C03_011E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Associate's degree
S1501_C03_012E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Bachelor's degree
S1501_C03_013E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Graduate or professional degree
S1501_C03_014E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,High school graduate or higher
S1501_C03_015E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,Bachelor's degree or higher
S1501_C03_016E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,
S1501_C03_017E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,High school graduate or higher
S1501_C03_018E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,Bachelor's degree or higher
S1501_C03_019E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,
S1501_C03_020E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,High school graduate or higher
S1501_C03_021E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,Bachelor's degree or higher
S1501_C03_022E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,
S1501_C03_023E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,High school graduate or higher
S1501_C03_024E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,Bachelor's degree or higher
S1501_C03_025E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,
S1501_C03_026E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,High school graduate or higher
S1501_C03_027E,Estimate,Male,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,Bachelor's degree or higher
S1501_C03_028E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,
S1501_C03_029E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,High school graduate or higher
S1501_C03_030E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,Bachelor's degree or higher
S1501_C03_031E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",
S1501_C03_032E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",High school graduate or higher
S1501_C03_033E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",Bachelor's degree or higher
S1501_C03_034E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,
S1501_C03_035E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,High school graduate or higher
S1501_C03_036E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,Bachelor's degree or higher
S1501_C03_037E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,
S1501_C03_038E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,High school graduate or higher
S1501_C03_039E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,Bachelor's degree or higher
S1501_C03_040E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,
S1501_C03_041E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,High school graduate or higher
S1501_C03_042E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,Bachelor's degree or higher
S1501_C03_043E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,
S1501_C03_044E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,High school graduate or higher
S1501_C03_045E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,Bachelor's degree or higher
S1501_C03_046E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,
S1501_C03_047E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,High school graduate or higher
S1501_C03_048E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,Bachelor's degree or higher
S1501_C03_049E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,
S1501_C03_050E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,High school graduate or higher
S1501_C03_051E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,Bachelor's degree or higher
S1501_C03_052E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,
S1501_C03_053E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,High school graduate or higher
S1501_C03_054E,Estimate,Male,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,Bachelor's degree or higher
S1501_C03_055E,Estimate,Male,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Less than high school graduate,
S1501_C03_056E,Estimate,Male,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,High school graduate (includes equivalency),
S1501_C03_057E,Estimate,Male,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Some college or associate's degree,
S1501_C03_058E,Estimate,Male,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Bachelor's degree or higher,
S1501_C03_059E,Estimate,Male,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,
S1501_C03_060E,Estimate,Male,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,Less than high school graduate
