BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,NTA2020,CDTA2020,n_total,n_classified_positive,n_tp,n_fp,n_tn,n_fn,total_not_annotated,positives_not_annotated,negatives_not_annotated,p_y,p_y_CI_lower,p_y_CI_upper,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_2_area,dep_moderate_1_frac,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,manhole_overflow_311c,catch_basin_clogged/flooding_311c,highway_flooding_311c
Queens,4070700,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,109.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,109.0,0.0011640449053058,5.14611890487382e-06,0.007634804101444,0.0816048017865277,0.0005607711126297,0.5662932564235478,2661,1315,7,370,923,942,896,108616,230,546,623,146,36.0,77.0,48.253430962343096,2389566.804128238,0.0,36179.56420652419,49973.38020507481,0.015140637266980792,0.020913154685083646,36081070700,0,0,0,0,0
Queens,4071303,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,259.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,259.0,0.0012245880307318,3.0043689308456664e-06,0.0095279365927437,0.1590208772020999,0.0007778300385427,0.916220477560274,5509,2716,84,1042,1206,2521,2421,98155,409,1873,1133,254,25.0,101.0,53.71720020991866,1524263.1977907014,0.0,0.0,0.0,0.0,0.0,36081071303,0,0,0,0,0
Queens,4071304,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,161.0,1.0,0.0,0.0,0.0,0.0,161.0,1.0,160.0,0.002239008794828,3.856488800970842e-06,0.0204789121181856,0.1619014315330484,0.0006207031782035,0.9642545801879034,6195,3037,21,907,1642,2923,3001,100199,716,1932,1319,578,31.0,98.0,66.61051253050776,1680460.8480428495,0.0,0.0,0.0,0.0,0.0,36081071304,0,0,0,0,0
Queens,4071305,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,340.0,0.0,0.0,0.0,2.0,0.0,338.0,0.0,340.0,0.00071437956333,1.865983106387676e-06,0.0053093748363281,0.1442528968892302,0.0006342336366834,0.8363453181490628,5576,2784,132,1377,1199,2420,2389,108007,339,1251,1372,287,45.0,99.0,70.56309399930628,1441523.394818006,0.0,0.0,0.0,0.0,0.0,36081071305,0,0,0,0,0
Queens,4071701,Rego Park,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0601,QN06,164.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,164.0,0.0007702273399227,3.07224271795626e-06,0.0051331859163231,0.0893080790613347,0.0005037216671227,0.5700173278079568,5164,2829,171,757,1192,2165,2066,55526,686,1065,1141,775,11.0,59.0,28.7231867755661,2045005.221607626,0.0,27276.129578046795,382.0740892625298,0.013337926617421739,0.00018683281843269453,36081071701,0,0,0,0,0
Queens,4071900,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,444.0,0.0,0.0,0.0,0.0,0.0,444.0,0.0,444.0,0.0007011571562608,9.687715075300504e-06,0.0040501688581316,0.1935652319443367,0.0042921286922191,0.8350095280373575,3475,1388,63,1044,934,894,989,63125,699,514,332,186,14.0,54.0,28.611942809083263,1783751.8115665156,0.0,15861.722732112776,3729.828166446348,0.008892337279917204,0.0020910017538655007,36081071900,0,0,0,0,0
Queens,4072100,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,117.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,117.0,0.0011825883880373,5.660787839002531e-06,0.0070908916894252,0.0934311139897043,0.0006620947684164,0.5650781279120795,5349,2392,16,663,1971,1840,1819,98207,646,900,1009,633,24.0,80.0,57.17515118196811,1818401.8285314324,0.0,0.0,0.0,0.0,0.0,36081072100,0,0,0,0,0
Queens,4072300,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,243.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,243.0,0.0008665534701103,5.643038209157262e-06,0.0064101521431615,0.1389873202490325,0.0013703223641441,0.7904261256878611,2307,1131,138,212,718,828,772,198750,194,628,624,87,43.0,84.0,65.50654072639608,5060336.334517377,0.0,1180.7017549643087,0.0,0.00023332475885259839,0.0,36081072300,0,0,0,0,0
Queens,4072900,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,101.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,101.0,0.0015086190240628,3.29631128190651e-06,0.0116042800136387,0.1002302429620667,0.0003328725736868,0.6923785234081842,1366,635,0,108,571,428,399,127292,200,358,266,39,41.0,71.0,58.40273381294964,2085116.0205286318,0.0,21207.760161841114,1422.7229882397748,0.01017102163766618,0.0006823231773352723,36081072900,0,0,0,0,0
Queens,4073700,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,397.0,0.0,0.0,0.0,1.0,0.0,396.0,0.0,397.0,0.0007371902378373,7.047593673389543e-06,0.0044538020228235,0.1836052418775049,0.002793994017779,0.8300257117520684,2151,1213,18,243,550,1117,1031,117568,253,593,637,89,57.0,86.0,70.67968440075815,2268874.5607878906,0.0,81781.13220757467,25313.79782740659,0.03604480107493264,0.011156984288552342,36081073700,0,0,0,0,0
