BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,NTA2020,CDTA2020,Shape_Leng,Shape_Area,n_total,n_classified_positive,n_tp,n_fp,n_tn,n_fn,total_not_annotated,positives_not_annotated,negatives_not_annotated,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,total_households,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_2_area,dep_moderate_1_frac,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c,n_311_reports
Queens,4100804,Far Rockaway-Bayswater,QN14 The Rockaways (CD 14 Approximation),4414,QN1401,QN14,13227.475436,9002550.12168,118.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,118.0,5226,0,215,0,1654,1394,1335,1295,99318,733,656,481,0,0.0,27.0,10.675645653985004,7453569.949382105,1.0,37975.90300716273,38189.545525230664,0.005094995185536684,0.005123658298584364,36081100804,2,0,0,0,0,2
Queens,4101002,Far Rockaway-Bayswater,QN14 The Rockaways (CD 14 Approximation),4414,QN1401,QN14,12093.972062,6924427.10894,132.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,6069,7,76,0,4542,1866,1611,1601,52716,715,426,1028,179,0.0,24.0,8.690537379804221,5797357.24674156,0.0,47822.53461227584,59282.545551542054,0.008249023231948451,0.010225787894106778,36081101002,0,0,0,0,0,0
Queens,4101003,Far Rockaway-Bayswater,QN14 The Rockaways (CD 14 Approximation),4414,QN1401,QN14,7399.25360464,2517591.57296,85.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,85.0,3885,7,1138,34,1754,1211,1120,1111,70299,860,408,381,129,10.0,30.0,23.75550345704522,2517594.3327295263,0.0,0.0,0.0,0.0,0.0,36081101003,0,0,1,0,0,1
Queens,4101004,Far Rockaway-Bayswater,QN14 The Rockaways (CD 14 Approximation),4414,QN1401,QN14,13150.5347907,8427996.82716,62.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,6462,0,708,0,2041,2572,2122,2196,42361,1554,536,306,244,0.0,35.0,7.173820684744556,6199310.944668012,0.0,186488.31448148313,197279.35620068628,0.030082103663775818,0.03182278771971666,36081101004,0,1,0,0,0,1
Queens,4103300,Whitestone-Beechhurst,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0702,QN07,11601.8712024,6525351.4616,128.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,4561,14,214,0,2372,1531,1362,1331,101816,902,739,467,247,0.0,73.0,59.92945485754571,6525358.225616955,0.0,0.0,0.0,0.0,0.0,36081103300,1,5,1,0,0,7
Queens,4103900,Whitestone-Beechhurst,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0702,QN07,12776.4403589,9352835.74346,858.0,0.0,0.0,0.0,0.0,0.0,858.0,0.0,858.0,6670,143,1053,0,2500,2367,2107,2042,74272,1617,891,451,381,9.0,99.0,57.0315209836942,9352844.779267054,0.0,6866.8363283138715,13672.1474365443,0.000734197614776624,0.001461816993568852,36081103900,1,0,0,0,0,1
Queens,4104700,Murray Hill-Broadway Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0704,QN07,13160.6413045,9061045.51088,197.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,197.0,7118,0,463,0,2133,2743,2462,2334,77454,1731,1118,726,961,21.0,82.0,55.54351665820325,9061054.628929127,0.0,64542.89373017779,106389.02822134568,0.007123110539926823,0.011741351595175096,36081104700,1,0,0,0,0,1
Queens,4105900,Murray Hill-Broadway Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0704,QN07,12256.930199,7005038.68447,76.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,76.0,3664,13,86,0,1745,1321,1169,1185,99740,679,679,446,164,50.0,97.0,70.33177703532368,7004911.721291417,0.0,0.0,0.0,0.0,0.0,36081105900,0,0,1,0,0,1
Queens,4108500,Auburndale,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),4411,QN1101,QN11,9302.98521098,4792437.04402,132.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,2766,71,339,0,1266,1065,1036,975,67226,702,464,347,154,73.0,117.0,100.37119252274054,4792442.310499791,0.0,0.0,0.0,0.0,0.0,36081108500,0,1,0,0,0,1
Queens,4109300,Bayside,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),4411,QN1102,QN11,23390.7074775,16073038.5761,154.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,154.0,3043,12,134,2,1674,1022,929,917,139605,404,487,484,105,0.0,107.0,46.1408724109826,11521345.574034123,0.0,10136.326804876027,10136.326804876027,0.0008797867175966374,0.0008797867175966374,36081109300,1,2,2,0,0,5
