BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,NTA2020,CDTA2020,n_total,n_classified_positive,n_tp,n_fp,n_tn,n_fn,total_not_annotated,positives_not_annotated,negatives_not_annotated,p_y,p_y_CI_lower,p_y_CI_upper,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,empirical_estimate,at_least_one_positive_image_by_area_if_you_have_100_images,at_least_one_positive_image_by_area_if_you_have_100_images_CI_lower,at_least_one_positive_image_by_area_if_you_have_100_images_CI_upper,n_images_by_area,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_2_area,dep_moderate_1_frac,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Manhattan,1004100,SoHo-Little Italy-Hudson Square,MN02 Greenwich Village-SoHo (CD 2 Equivalent),4121,MN0201,MN02,887.0,1.0,0.0,0.0,1.0,0.0,886.0,1.0,886.0,0.0023338723206583,0.0009115156229947,0.0049842232723888,0.8268343311050982,0.554644779965777,0.988110034017164,0.0011273957158962,0.2041112378477076,0.0871586037259358,0.3932682991662616,887,7051,3495,90,437,2813,2735,2796,100096,530,2045,1241,936,14.0,47.0,31.1866893368958,2058612.5851035914,0.0,3089.3545712637815,0.0,0.0015006974083510338,0.0,36061004100,0,0,0,0,0
Manhattan,1004300,SoHo-Little Italy-Hudson Square,MN02 Greenwich Village-SoHo (CD 2 Equivalent),4121,MN0201,MN02,846.0,0.0,0.0,0.0,1.0,0.0,845.0,0.0,846.0,0.0019399721081831,0.0007655539127818,0.0040877748047339,0.7625244066648962,0.4768602517713226,0.9687377846377884,0.0,0.1735541876572585,0.0737255536335572,0.3360943675364082,846,3494,1951,32,750,574,2141,1972,97133,169,1465,670,227,18.0,51.0,39.55176280054815,1605585.5846108166,0.0,0.0,0.0,0.0,0.0,36061004300,0,0,0,0,0
Manhattan,1004500,SoHo-Little Italy-Hudson Square,MN02 Greenwich Village-SoHo (CD 2 Equivalent),4121,MN0201,MN02,571.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,571.0,0.0020832242170409,0.0008090293903977,0.0044506567761645,0.6572950076361521,0.3700675897076131,0.9216835131098006,0.0,0.1847121461715675,0.0777469940336905,0.3598540254553006,571,1226,860,27,80,209,476,462,158393,92,357,257,22,6.0,39.0,21.153771246458923,1129524.906786994,0.0,35793.108469815576,616.5033031249629,0.031688640290041384,0.000545807621789099,36061004500,0,0,0,0,0
Manhattan,1005200,Midtown South-Flatiron-Union Square,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),4165,MN0501,MN05,711.0,0.0,0.0,0.0,0.0,0.0,711.0,0.0,711.0,0.0017610550524737,0.000682296292853,0.0037371454455227,0.6746888717457524,0.3844740876984791,0.9301976648328204,0.0,0.1590317876648917,0.0659757862341423,0.3123082656045533,711,3128,1959,133,279,504,1146,1148,193958,76,687,935,34,30.0,50.0,39.686312310658224,1815481.8906734562,0.0,0.0,0.0,0.0,0.0,36061005200,0,0,0,0,0
Manhattan,1005400,Midtown South-Flatiron-Union Square,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),4165,MN0501,MN05,1095.0,0.0,0.0,0.0,1.0,0.0,1094.0,0.0,1095.0,0.0017709657041291,0.0006909443657882,0.0037400761453959,0.8099681200535351,0.53085602736918,0.9834779768429998,0.0,0.159881822790779,0.0667837425352919,0.3125105340527523,1095,4713,3259,107,434,756,2639,2662,152018,131,1704,1928,24,24.0,42.0,32.83816945780136,1809256.3563150344,0.0,26724.33519624281,1450.1950785531053,0.0147708947396891,0.0008015420664359362,36061005400,0,1,0,0,0
Manhattan,1005501,Greenwich Village,MN02 Greenwich Village-SoHo (CD 2 Equivalent),4121,MN0202,MN02,674.0,0.0,0.0,0.0,0.0,0.0,674.0,0.0,674.0,0.0018455141177814,0.0006650462224859,0.0041247408203799,0.6668084488385737,0.3613446130241258,0.9383217963085594,0.0,0.1653880795180707,0.0643621094062688,0.338554113395042,674,4987,2696,274,433,1367,1832,1843,190408,207,1118,1881,70,15.0,42.0,33.29961147638972,1338497.3240096415,0.0,0.0,0.0,0.0,0.0,36061005501,0,0,0,0,0
Manhattan,1005502,Greenwich Village,MN02 Greenwich Village-SoHo (CD 2 Equivalent),4121,MN0202,MN02,953.0,0.0,0.0,0.0,0.0,0.0,953.0,0.0,953.0,0.0018396872227044,0.0007152079416955,0.0039347821278465,0.7805182204463433,0.4943128214449213,0.9766520056451404,0.0,0.1653680177336012,0.0690469033294514,0.3258174607501221,953,1918,1214,53,252,354,1064,1117,138854,169,712,435,158,25.0,48.0,41.444542749135366,1243017.6966728475,0.0,0.0,0.0,0.0,0.0,36061005502,0,0,0,0,0
Manhattan,1005800,Midtown South-Flatiron-Union Square,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),4165,MN0501,MN05,1259.0,0.0,0.0,0.0,0.0,0.0,1259.0,0.0,1259.0,0.0017331025190176,0.0006994658721297,0.003576026011234,0.8434982438246846,0.5856050030172816,0.9890046849396285,0.0,0.1569359311253001,0.0675791973925855,0.3010971478409323,1259,4237,2169,325,523,938,2200,2236,186191,63,1827,1272,153,27.0,46.0,37.29870751555768,1879679.8762997251,0.0,0.0,0.0,0.0,0.0,36061005800,0,0,0,0,0
Manhattan,1006300,Greenwich Village,MN02 Greenwich Village-SoHo (CD 2 Equivalent),4121,MN0202,MN02,971.0,0.0,0.0,0.0,0.0,0.0,971.0,0.0,971.0,0.001770011160618,0.0006881586108546,0.0037740873227938,0.7745400744167756,0.4874884483930822,0.974563536571005,0.0,0.1597576119705469,0.06652355567855,0.3148535828936138,971,5799,4799,75,421,330,3153,2966,172687,191,1953,2106,19,10.0,36.0,23.699025076899016,1918266.1124299336,0.0,9326.24834636016,7939.14989837603,0.004861811552593337,0.00413871143681897,36061006300,0,0,0,0,0
Manhattan,1006500,Greenwich Village,MN02 Greenwich Village-SoHo (CD 2 Equivalent),4121,MN0202,MN02,969.0,0.0,0.0,0.0,2.0,0.0,967.0,0.0,969.0,0.0017542774849745,0.0006832770216167,0.0037488138332981,0.7711538040998536,0.4843472650268456,0.9737325996476311,0.0,0.1584421189804594,0.0660674467680408,0.3131132343056769,969,6088,4724,208,441,614,2880,2896,118698,150,2344,1527,0,0.0,36.0,22.750334517602543,2167368.014890095,0.0,7834.986550200366,28928.947167364182,0.003614977473310027,0.013347501194360449,36061006500,0,0,1,0,0
