                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[122]                                   0.002  0.003   0.000    0.005      0.000    0.000    3891.0    6767.0   1.00
p_y[123]                                   0.000  0.001   0.000    0.001      0.000    0.000    2241.0    4277.0   1.00
p_y[124]                                   0.002  0.004   0.000    0.006      0.000    0.000    2135.0    3308.0   1.00
p_y[125]                                   0.005  0.010   0.000    0.020      0.000    0.000    2553.0    3661.0   1.00
p_y[126]                                   0.001  0.002   0.000    0.004      0.000    0.000    3430.0    7277.0   1.00
p_y[127]                                   0.000  0.001   0.000    0.001      0.000    0.000    1754.0    3117.0   1.00
p_y[128]                                   0.001  0.002   0.000    0.003      0.000    0.000    2431.0    4977.0   1.00
p_y[129]                                   0.000  0.001   0.000    0.001      0.000    0.000    1795.0    3412.0   1.00
p_y[130]                                   0.001  0.002   0.000    0.003      0.000    0.000    2205.0    4227.0   1.00
p_y[131]                                   0.000  0.001   0.000    0.001      0.000    0.000    2185.0    4316.0   1.00
p_y[132]                                   0.000  0.000   0.000    0.001      0.000    0.000    1683.0    3014.0   1.00
p_y[133]                                   0.001  0.001   0.000    0.002      0.000    0.000    2199.0    4906.0   1.00
p_y[134]                                   0.001  0.002   0.000    0.003      0.000    0.000    2708.0    6123.0   1.00
p_y[135]                                   0.001  0.001   0.000    0.002      0.000    0.000    2244.0    4875.0   1.00
p_y[136]                                   0.001  0.002   0.000    0.003      0.000    0.000    2127.0    3969.0   1.00
p_y[137]                                   0.002  0.004   0.000    0.006      0.000    0.000    2742.0    4384.0   1.00
p_y[138]                                   0.001  0.003   0.000    0.005      0.000    0.000    1940.0    4511.0   1.00
p_y[139]                                   0.001  0.002   0.000    0.003      0.000    0.000    2372.0    4826.0   1.00
p_y[140]                                   0.001  0.001   0.000    0.002      0.000    0.000    2710.0    5378.0   1.00
p_y[141]                                   0.001  0.001   0.000    0.002      0.000    0.000    2498.0    4823.0   1.00
p_y[142]                                   0.001  0.003   0.000    0.004      0.000    0.000    2649.0    4998.0   1.00
p_y[143]                                   0.002  0.004   0.000    0.007      0.000    0.000    3085.0    5180.0   1.00
p_y[144]                                   0.001  0.002   0.000    0.003      0.000    0.000    3291.0    7170.0   1.00
p_y[145]                                   0.001  0.002   0.000    0.002      0.000    0.000    3061.0    4943.0   1.00
p_y[146]                                   0.018  0.016   0.001    0.045      0.000    0.000    4076.0    5262.0   1.00
p_y[147]                                   0.002  0.003   0.000    0.006      0.000    0.000    3324.0    5868.0   1.00
p_y[148]                                   0.001  0.003   0.000    0.002      0.000    0.000    3343.0    5586.0   1.00
p_y[149]                                   0.000  0.001   0.000    0.002      0.000    0.000    2954.0    5142.0   1.00
p_y[150]                                   0.001  0.001   0.000    0.002      0.000    0.000    2783.0    5044.0   1.00
p_y[151]                                   0.002  0.005   0.000    0.006      0.000    0.000    4104.0    6981.0   1.00
p_y[152]                                   0.002  0.004   0.000    0.005      0.000    0.000    3980.0    6702.0   1.00
p_y[153]                                   0.003  0.007   0.000    0.010      0.000    0.000    2875.0    5406.0   1.00
p_y[154]                                   0.001  0.002   0.000    0.003      0.000    0.000    2524.0    4681.0   1.00
p_y[155]                                   0.022  0.058   0.000    0.078      0.001    0.001    5175.0    7535.0   1.00
p_y[156]                                   0.001  0.001   0.000    0.002      0.000    0.000    2482.0    4820.0   1.00
p_y[157]                                   0.003  0.006   0.000    0.009      0.000    0.000    3566.0    5991.0   1.00
p_y[158]                                   0.002  0.004   0.000    0.007      0.000    0.000    3728.0    5819.0   1.00
p_y[159]                                   0.003  0.009   0.000    0.011      0.000    0.000    3854.0    6383.0   1.00
p_y[160]                                   0.002  0.004   0.000    0.006      0.000    0.000    3491.0    6538.0   1.00
p_y[161]                                   0.001  0.003   0.000    0.003      0.000    0.000    3132.0    6413.0   1.00
p_y[162]                                   0.002  0.004   0.000    0.006      0.000    0.000    3406.0    4564.0   1.00
p_y[163]                                   0.002  0.004   0.000    0.005      0.000    0.000    3510.0    5970.0   1.00
p_y[164]                                   0.001  0.001   0.000    0.002      0.000    0.000    2516.0    5037.0   1.00
p_y[165]                                   0.001  0.002   0.000    0.003      0.000    0.000    2613.0    5845.0   1.00
p_y[166]                                   0.001  0.002   0.000    0.002      0.000    0.000    2695.0    4959.0   1.00
p_y[167]                                   0.002  0.003   0.000    0.005      0.000    0.000    2775.0    5122.0   1.00
p_y[168]                                   0.001  0.003   0.000    0.004      0.000    0.000    3751.0    5818.0   1.00
p_y[169]                                   0.001  0.004   0.000    0.004      0.000    0.000    3015.0    5450.0   1.00
p_y[170]                                   0.005  0.010   0.000    0.016      0.000    0.000    3149.0    6036.0   1.00
p_y[171]                                   0.001  0.002   0.000    0.004      0.000    0.000    3208.0    6333.0   1.00
p_y[172]                                   0.012  0.022   0.000    0.043      0.000    0.000    3491.0    5056.0   1.00
p_y[173]                                   0.003  0.005   0.000    0.009      0.000    0.000    3605.0    5856.0   1.00
p_y[174]                                   0.003  0.005   0.000    0.009      0.000    0.000    3189.0    6177.0   1.00
p_y[175]                                   0.002  0.004   0.000    0.006      0.000    0.000    3473.0    7117.0   1.00
p_y[176]                                   0.008  0.010   0.000    0.023      0.000    0.000    2751.0    5496.0   1.00
p_y[177]                                   0.001  0.002   0.000    0.002      0.000    0.000    2752.0    4267.0   1.00
p_y[178]                                   0.002  0.004   0.000    0.008      0.000    0.000    3298.0    5954.0   1.00
p_y[179]                                   0.001  0.002   0.000    0.003      0.000    0.000    3545.0    7031.0   1.00
p_y[180]                                   0.001  0.003   0.000    0.002      0.000    0.000    3426.0    5958.0   1.00
p_y[181]                                   0.001  0.001   0.000    0.002      0.000    0.000    3825.0    6230.0   1.00
p_y[182]                                   0.000  0.001   0.000    0.002      0.000    0.000    3012.0    5567.0   1.00
p_y[183]                                   0.001  0.002   0.000    0.004      0.000    0.000    3320.0    5773.0   1.00
p_y[184]                                   0.003  0.005   0.000    0.009      0.000    0.000    3236.0    4643.0   1.00
p_y[185]                                   0.014  0.026   0.000    0.049      0.000    0.000    4356.0    6569.0   1.00
p_y[186]                                   0.001  0.002   0.000    0.003      0.000    0.000    3234.0    5313.0   1.00
p_y[187]                                   0.001  0.003   0.000    0.003      0.000    0.000    4030.0    5065.0   1.00
p_y[188]                                   0.001  0.002   0.000    0.002      0.000    0.000    2917.0    4299.0   1.00
p_y[189]                                   0.001  0.003   0.000    0.004      0.000    0.000    3265.0    6135.0   1.00
p_y[190]                                   0.001  0.002   0.000    0.003      0.000    0.000    3324.0    5794.0   1.00
p_y[191]                                   0.001  0.003   0.000    0.003      0.000    0.000    2426.0    4754.0   1.00
p_y[192]                                   0.001  0.002   0.000    0.002      0.000    0.000    3329.0    6174.0   1.00
p_y[193]                                   0.003  0.008   0.000    0.009      0.000    0.000    2823.0    5050.0   1.00
p_y[194]                                   0.001  0.002   0.000    0.003      0.000    0.000    3296.0    6512.0   1.00
p_y[195]                                   0.001  0.001   0.000    0.002      0.000    0.000    3159.0    5989.0   1.00
p_y[196]                                   0.001  0.003   0.000    0.004      0.000    0.000    2645.0    4701.0   1.00
p_y[197]                                   0.000  0.001   0.000    0.001      0.000    0.000    2845.0    5849.0   1.00
p_y[198]                                   0.000  0.001   0.000    0.002      0.000    0.000    2324.0    5129.0   1.00
p_y[199]                                   0.001  0.001   0.000    0.002      0.000    0.000    2883.0    6431.0   1.00
p_y[200]                                   0.001  0.003   0.000    0.003      0.000    0.000    2550.0    5131.0   1.00
p_y[201]                                   0.002  0.006   0.000    0.009      0.000    0.000    2798.0    5185.0   1.00
p_y[202]                                   0.001  0.004   0.000    0.004      0.000    0.000    2626.0    5511.0   1.00
p_y[203]                                   0.001  0.001   0.000    0.002      0.000    0.000    2647.0    4994.0   1.00
p_y[204]                                   0.001  0.002   0.000    0.003      0.000    0.000    2397.0    4270.0   1.00
p_y[205]                                   0.003  0.006   0.000    0.011      0.000    0.000    2598.0    5241.0   1.00
p_y[206]                                   0.001  0.002   0.000    0.002      0.000    0.000    2387.0    5785.0   1.00
p_y[207]                                   0.001  0.002   0.000    0.002      0.000    0.000    2470.0    5368.0   1.00
p_y[208]                                   0.001  0.003   0.000    0.004      0.000    0.000    2729.0    4667.0   1.00
p_y[209]                                   0.001  0.002   0.000    0.002      0.000    0.000    2945.0    5735.0   1.00
p_y[210]                                   0.001  0.002   0.000    0.002      0.000    0.000    2997.0    5552.0   1.00
p_y[211]                                   0.001  0.002   0.000    0.002      0.000    0.000    3538.0    6266.0   1.00
p_y[212]                                   0.001  0.001   0.000    0.002      0.000    0.000    2354.0    5037.0   1.00
p_y[213]                                   0.002  0.005   0.000    0.005      0.000    0.000    3732.0    5986.0   1.00
p_y[214]                                   0.001  0.002   0.000    0.002      0.000    0.000    2566.0    4423.0   1.00
p_y[215]                                   0.002  0.004   0.000    0.005      0.000    0.000    3084.0    5090.0   1.00
p_y[216]                                   0.001  0.001   0.000    0.002      0.000    0.000    2346.0    4944.0   1.00
p_y[217]                                   0.001  0.002   0.000    0.004      0.000    0.000    3215.0    5124.0   1.00
p_y[218]                                   0.000  0.001   0.000    0.001      0.000    0.000    2171.0    4098.0   1.00
p_y[219]                                   0.000  0.001   0.000    0.001      0.000    0.000    2447.0    4791.0   1.00
p_y[220]                                   0.000  0.001   0.000    0.001      0.000    0.000    2775.0    4433.0   1.00
p_y[221]                                   0.002  0.003   0.000    0.007      0.000    0.000    3416.0    6365.0   1.00
p_y[222]                                   0.001  0.002   0.000    0.003      0.000    0.000    2441.0    5449.0   1.00
p_y[223]                                   0.001  0.005   0.000    0.004      0.000    0.000    2695.0    6435.0   1.00
p_y[224]                                   0.001  0.002   0.000    0.002      0.000    0.000    2476.0    5235.0   1.00
p_y[225]                                   0.001  0.002   0.000    0.002      0.000    0.000    2456.0    4869.0   1.00
p_y[226]                                   0.001  0.002   0.000    0.003      0.000    0.000    2763.0    4528.0   1.00
p_y[227]                                   0.002  0.006   0.000    0.008      0.000    0.000    3234.0    5770.0   1.00
p_y[228]                                   0.001  0.002   0.000    0.002      0.000    0.000    2195.0    4373.0   1.00
p_y[229]                                   0.001  0.002   0.000    0.003      0.000    0.000    2228.0    4247.0   1.00
p_y[230]                                   0.001  0.004   0.000    0.005      0.000    0.000    2462.0    5308.0   1.00
p_y[231]                                   0.001  0.004   0.000    0.005      0.000    0.000    2521.0    4916.0   1.00
p_y[232]                                   0.001  0.001   0.000    0.002      0.000    0.000    2371.0    5072.0   1.00
p_y[233]                                   0.002  0.004   0.000    0.007      0.000    0.000    2927.0    6582.0   1.00
p_y[234]                                   0.001  0.002   0.000    0.002      0.000    0.000    2421.0    5031.0   1.00
p_y[235]                                   0.002  0.005   0.000    0.008      0.000    0.000    3372.0    6326.0   1.00
p_y[236]                                   0.000  0.001   0.000    0.002      0.000    0.000    2451.0    4740.0   1.00
p_y[237]                                   0.000  0.001   0.000    0.002      0.000    0.000    2737.0    5154.0   1.00
p_y[238]                                   0.001  0.002   0.000    0.003      0.000    0.000    2053.0    4145.0   1.00
p_y[239]                                   0.001  0.001   0.000    0.002      0.000    0.000    2615.0    5029.0   1.00
p_y[240]                                   0.001  0.003   0.000    0.005      0.000    0.000    2565.0    4109.0   1.00
p_y[241]                                   0.000  0.001   0.000    0.001      0.000    0.000    2656.0    5457.0   1.00
p_y[242]                                   0.000  0.001   0.000    0.002      0.000    0.000    2992.0    6457.0   1.00
p_y[243]                                   0.001  0.002   0.000    0.004      0.000    0.000    2217.0    4609.0   1.00
p_y[244]                                   0.001  0.002   0.000    0.003      0.000    0.000    2259.0    5130.0   1.00
p_y[245]                                   0.001  0.001   0.000    0.002      0.000    0.000    2936.0    6348.0   1.00
p_y[246]                                   0.001  0.002   0.000    0.003      0.000    0.000    2711.0    5873.0   1.00
p_y[247]                                   0.001  0.001   0.000    0.002      0.000    0.000    2960.0    5974.0   1.00
p_y[248]                                   0.002  0.004   0.000    0.007      0.000    0.000    2596.0    6280.0   1.00
p_y[249]                                   0.001  0.002   0.000    0.002      0.000    0.000    2920.0    5016.0   1.00
p_y[250]                                   0.001  0.003   0.000    0.003      0.000    0.000    2996.0    5324.0   1.00
p_y[251]                                   0.001  0.001   0.000    0.002      0.000    0.000    2550.0    5453.0   1.00
p_y[252]                                   0.001  0.003   0.000    0.003      0.000    0.000    4081.0    6282.0   1.00
p_y[253]                                   0.001  0.002   0.000    0.002      0.000    0.000    3535.0    6739.0   1.00
p_y[254]                                   0.001  0.002   0.000    0.002      0.000    0.000    2880.0    5319.0   1.00
p_y[255]                                   0.001  0.002   0.000    0.003      0.000    0.000    3441.0    7499.0   1.00
p_y[256]                                   0.003  0.004   0.000    0.009      0.000    0.000    3569.0    6951.0   1.00
p_y[257]                                   0.009  0.013   0.000    0.028      0.000    0.000    3402.0    4281.0   1.00
p_y[258]                                   0.004  0.007   0.000    0.014      0.000    0.000    4069.0    5710.0   1.00
p_y[259]                                   0.001  0.002   0.000    0.004      0.000    0.000    3402.0    6034.0   1.00
p_y[260]                                   0.007  0.014   0.000    0.024      0.000    0.000    3693.0    5770.0   1.00
p_y[261]                                   0.001  0.002   0.000    0.002      0.000    0.000    2486.0    5820.0   1.00
p_y[262]                                   0.003  0.004   0.000    0.009      0.000    0.000    2679.0    5600.0   1.00
p_y[263]                                   0.001  0.005   0.000    0.005      0.000    0.000    4222.0    6784.0   1.00
p_y[264]                                   0.001  0.002   0.000    0.003      0.000    0.000    3447.0    5440.0   1.00
p_y[265]                                   0.002  0.005   0.000    0.008      0.000    0.000    3929.0    6035.0   1.00
p_y[266]                                   0.001  0.001   0.000    0.002      0.000    0.000    2899.0    6079.0   1.00
p_y[267]                                   0.007  0.014   0.000    0.023      0.000    0.000    2906.0    4864.0   1.00
p_y[268]                                   0.001  0.004   0.000    0.005      0.000    0.000    3755.0    5958.0   1.00
p_y[269]                                   0.001  0.003   0.000    0.004      0.000    0.000    3176.0    5505.0   1.00
p_y[270]                                   0.001  0.002   0.000    0.003      0.000    0.000    2705.0    5161.0   1.00
p_y[271]                                   0.001  0.002   0.000    0.003      0.000    0.000    3139.0    5793.0   1.00
p_y[272]                                   0.011  0.028   0.000    0.042      0.000    0.000    3719.0    8332.0   1.00
p_y[273]                                   0.001  0.001   0.000    0.002      0.000    0.000    2159.0    4628.0   1.00
p_y[274]                                   0.001  0.001   0.000    0.002      0.000    0.000    2448.0    5554.0   1.00
p_y[275]                                   0.001  0.002   0.000    0.004      0.000    0.000    2335.0    4810.0   1.00
p_y[276]                                   0.001  0.002   0.000    0.003      0.000    0.000    2709.0    5447.0   1.00
p_y[277]                                   0.002  0.004   0.000    0.006      0.000    0.000    3674.0    6206.0   1.00
p_y[278]                                   0.001  0.004   0.000    0.005      0.000    0.000    3722.0    5373.0   1.00
p_y[279]                                   0.001  0.004   0.000    0.005      0.000    0.000    3494.0    4449.0   1.00
p_y[280]                                   0.001  0.003   0.000    0.004      0.000    0.000    3350.0    6780.0   1.00
p_y[281]                                   0.001  0.003   0.000    0.004      0.000    0.000    2468.0    5036.0   1.00
p_y[282]                                   0.001  0.002   0.000    0.003      0.000    0.000    3231.0    5534.0   1.00
p_y[283]                                   0.001  0.002   0.000    0.003      0.000    0.000    2570.0    5304.0   1.00
p_y[284]                                   0.001  0.002   0.000    0.002      0.000    0.000    2423.0    5434.0   1.00
p_y[285]                                   0.003  0.008   0.000    0.010      0.000    0.000    5120.0    6719.0   1.00
p_y[286]                                   0.001  0.003   0.000    0.003      0.000    0.000    2978.0    5578.0   1.00
p_y[287]                                   0.001  0.002   0.000    0.003      0.000    0.000    2138.0    4455.0   1.00
p_y[288]                                   0.001  0.002   0.000    0.004      0.000    0.000    3000.0    5430.0   1.00
p_y[289]                                   0.001  0.002   0.000    0.002      0.000    0.000    2640.0    4403.0   1.00
p_y[290]                                   0.001  0.002   0.000    0.003      0.000    0.000    3294.0    6856.0   1.00
p_y[291]                                   0.001  0.002   0.000    0.003      0.000    0.000    2554.0    6334.0   1.00
