tract_id,empirical_estimate,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,n_images_by_area
36061015101.0,0.0078125,0.5216451494719925,0.006199575588598433,0.9999873754401506,256
36061015301.0,0.0,0.15275296348954,0.0010736881101523434,0.8414789744904109,347
36061015302.0,0.00228310502283105,0.14397579635209035,0.0015591901465917602,0.7723097422292384,438
36061015401.0,0.0,0.11598780742709144,0.002018826988696479,0.6425558135004094,131
36061015402.0,0.0,0.19342034480311682,0.0015528252150200734,0.9097237124595917,173
36061015403.0,0.0,0.090742958152741,0.0007179606537949301,0.6095327000702327,91
36061015501.0,0.0,0.1195553397761272,0.0017340547535667579,0.6772707726087097,237
36061015601.0,0.0,0.3685727946730372,0.016694080022577225,0.98370408985856,348
36061015602.0,0.0,0.296629286545621,0.010404599418796734,0.9555720763337399,294
36061015700.0,0.0,0.22204276173673898,0.005899393341859485,0.8980674039573181,861
36061015801.0,0.0,0.15344124141517013,0.00458404283212914,0.7293855523617806,432
36061015802.0,0.0,0.0857629487632487,0.001706193653833618,0.48159343161543144,194
36061016001.0,0.0,0.20683883397868058,0.004108579415346878,0.8969171786878323,587
36061016100.0,0.0,0.15759083813944058,0.00272645988023712,0.7893140321693977,592
36061016200.0,0.0004899559039686428,1.0,1.0,1.0,2041
36061016400.0,0.0,0.4466887222460748,0.02318433493382256,0.9967289494618846,448
36061016500.0,0.0,0.19474309364979764,0.0037429805707299454,0.8725870739791994,817
36061016600.0,0.0030120481927710845,0.5803737336795769,0.03926014772928503,0.999806985083996,332
36061016900.0,0.0,0.19006321390078143,0.0029741758344433793,0.8732234322780627,666
36061017000.0,0.0,0.3867326411106443,0.01334788006357288,0.9924827211274504,397
36061017100.0,0.0,0.4552850007236576,0.01519216822244808,0.9984751048449443,539
36061017200.0,0.0,0.5419779773905454,0.05875973730967593,0.998724062987402,270
36061017300.0,0.0,0.14224316124898534,0.0019254580481672834,0.7580340861024315,481
36061017401.0,0.0,0.5746174861497421,0.04631411704626694,0.9996393291651721,302
36061017402.0,0.0,0.3096522934500401,0.009949061723088688,0.9722076125632216,149
36061017500.0,0.004048582995951417,0.7389746359722447,0.028764272870992574,0.999999995240751,494
36061017700.0,0.002145922746781116,0.17487308547288524,0.001287829886500691,0.9259059703331494,466
36061018000.0,0.002044989775051125,1.0,1.0,1.0,489
36061018100.0,0.0,0.11787667062044627,0.0013109307569941497,0.700407877840387,518
36061018400.0,0.0,0.1879851584711924,0.005795253918897664,0.8098139210731284,523
36061018600.0,0.006944444444444444,0.1119604569217601,0.0019495831950547883,0.6215753145447221,144
36061018700.0,0.0,0.38612976058170373,0.007949328971622793,0.9959238855025251,586
36061019300.0,0.0,0.12473139823845374,0.0027371741916381058,0.6430681899025855,609
36061019600.0,0.0,0.37912629917644486,0.018196307058304627,0.9871771625984402,554
36061019702.0,0.0,0.09928259950529071,0.0011962115565322452,0.6126385920981148,214
36061019900.0,0.0,0.40753177802896795,0.01586145501208285,0.9946766692668273,368
36061020500.0,0.004166666666666667,1.0,1.0,1.0,480
36061020600.0,0.0,0.2502796840764157,0.008459440647728998,0.9090198954644191,375
36061020701.0,0.0,0.02496021433649094,0.00019620984240249496,0.17732149092249344,86
36061020800.0,0.004901960784313725,0.11045144448762115,0.0015875776808910447,0.6855210247140447,204
36061021303.0,0.0,0.04716495620258398,0.0007873327794693768,0.2966261058651521,184
36061021500.0,0.0,0.06328807800099859,0.001192868085494353,0.3771054974263772,106
