                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[100]                                   0.001  0.001   0.000    0.002      0.000    0.000    3260.0    4097.0   1.00
p_y[101]                                   0.001  0.001   0.000    0.002      0.000    0.000    3142.0    4869.0   1.00
p_y[102]                                   0.000  0.001   0.000    0.001      0.000    0.000    3414.0    4691.0   1.00
p_y[103]                                   0.002  0.002   0.000    0.006      0.000    0.000    4034.0    4911.0   1.00
p_y[104]                                   0.002  0.004   0.000    0.008      0.000    0.000    3843.0    5473.0   1.00
p_y[105]                                   0.000  0.001   0.000    0.001      0.000    0.000    3198.0    5203.0   1.00
p_y[106]                                   0.005  0.007   0.000    0.018      0.000    0.000    2811.0    3380.0   1.00
p_y[107]                                   0.000  0.001   0.000    0.002      0.000    0.000    3611.0    4868.0   1.00
p_y[108]                                   0.002  0.004   0.000    0.008      0.000    0.000    4265.0    4627.0   1.00
p_y[109]                                   0.002  0.003   0.000    0.008      0.000    0.000    3411.0    4173.0   1.00
p_y[110]                                   0.005  0.007   0.000    0.016      0.000    0.000    3413.0    5920.0   1.00
p_y[111]                                   0.000  0.001   0.000    0.002      0.000    0.000    3154.0    5268.0   1.00
p_y[112]                                   0.005  0.007   0.000    0.018      0.000    0.000    3893.0    5087.0   1.00
p_y[113]                                   0.004  0.007   0.000    0.014      0.000    0.000    3641.0    4693.0   1.00
p_y[114]                                   0.009  0.011   0.000    0.028      0.000    0.000    3096.0    3688.0   1.00
p_y[115]                                   0.001  0.002   0.000    0.003      0.000    0.000    2394.0    3695.0   1.00
p_y[116]                                   0.004  0.005   0.000    0.011      0.000    0.000    4000.0    5301.0   1.00
p_y[117]                                   0.000  0.001   0.000    0.001      0.000    0.000    2547.0    4186.0   1.00
p_y[118]                                   0.001  0.001   0.000    0.002      0.000    0.000    3170.0    4827.0   1.00
p_y[119]                                   0.001  0.002   0.000    0.004      0.000    0.000    3158.0    4432.0   1.00
p_y[120]                                   0.002  0.003   0.000    0.006      0.000    0.000    2981.0    3614.0   1.00
p_y[121]                                   0.000  0.001   0.000    0.001      0.000    0.000    2870.0    4661.0   1.00
p_y[122]                                   0.001  0.002   0.000    0.005      0.000    0.000    3276.0    4081.0   1.00
p_y[123]                                   0.001  0.002   0.000    0.002      0.000    0.000    2884.0    4557.0   1.00
p_y[124]                                   0.003  0.004   0.000    0.009      0.000    0.000    3225.0    5132.0   1.00
p_y[125]                                   0.014  0.013   0.000    0.036      0.000    0.000    3482.0    3293.0   1.00
p_y[126]                                   0.001  0.002   0.000    0.004      0.000    0.000    3551.0    5283.0   1.00
p_y[127]                                   0.000  0.001   0.000    0.001      0.000    0.000    2397.0    3663.0   1.00
p_y[128]                                   0.001  0.002   0.000    0.003      0.000    0.000    2399.0    4608.0   1.00
p_y[129]                                   0.000  0.001   0.000    0.001      0.000    0.000    2522.0    3642.0   1.00
p_y[130]                                   0.001  0.002   0.000    0.002      0.000    0.000    2014.0    4018.0   1.00
p_y[131]                                   0.001  0.001   0.000    0.002      0.000    0.000    3107.0    5643.0   1.00
p_y[132]                                   0.000  0.000   0.000    0.001      0.000    0.000    2228.0    3474.0   1.00
p_y[133]                                   0.001  0.001   0.000    0.002      0.000    0.000    2755.0    4650.0   1.00
p_y[134]                                   0.001  0.002   0.000    0.003      0.000    0.000    2851.0    4262.0   1.00
p_y[135]                                   0.001  0.001   0.000    0.002      0.000    0.000    2595.0    3842.0   1.00
p_y[136]                                   0.001  0.002   0.000    0.003      0.000    0.000    2368.0    3268.0   1.00
p_y[137]                                   0.002  0.003   0.000    0.006      0.000    0.000    3081.0    4745.0   1.00
p_y[138]                                   0.001  0.002   0.000    0.004      0.000    0.000    2430.0    4521.0   1.00
p_y[139]                                   0.001  0.002   0.000    0.003      0.000    0.000    2265.0    3322.0   1.00
p_y[140]                                   0.001  0.001   0.000    0.002      0.000    0.000    2572.0    3448.0   1.00
p_y[141]                                   0.001  0.001   0.000    0.002      0.000    0.000    2627.0    4370.0   1.00
p_y[142]                                   0.001  0.002   0.000    0.003      0.000    0.000    2773.0    4362.0   1.00
p_y[143]                                   0.003  0.009   0.000    0.009      0.000    0.000    3018.0    4986.0   1.00
p_y[144]                                   0.002  0.005   0.000    0.007      0.000    0.000    2930.0    4361.0   1.00
p_y[145]                                   0.001  0.004   0.000    0.005      0.000    0.000    3583.0    5951.0   1.00
p_y[146]                                   0.069  0.027   0.023    0.117      0.000    0.000    3148.0    4675.0   1.00
p_y[147]                                   0.024  0.014   0.003    0.050      0.000    0.000    3766.0    4254.0   1.00
p_y[148]                                   0.002  0.009   0.000    0.008      0.000    0.000    3057.0    5655.0   1.00
p_y[149]                                   0.002  0.003   0.000    0.005      0.000    0.000    2477.0    3228.0   1.00
