BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,empirical_estimate_ct,p_y,p_y_CI_lower,p_y_CI_upper,empirical_estimate_p_alop,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,n_children,n_elderly,total_households,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_1_frac,dep_moderate_2_area,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Brooklyn,3069602,Marine Park-Mill Basin-Bergen Beach,BK18 Canarsie-Flatlands (CD 18 Approximation),4318,0.0,0.0059335610592977,0.0002112995282678,0.0284004325694393,0.0,0.4382664627901492,0.0320197215467316,0.988168326388957,5220,3245,1141,266,415,817,1213,1954,1797,1820,90917,1059,1342,675,276,0.0,35.0,11.601655490626069,7888871.629894815,0.0,12621.102214741695,0.0015998615273335327,12653.741725575033,0.0016039989391668868,36047069602,3,2,2,1,0
Brooklyn,3070601,Marine Park-Mill Basin-Bergen Beach,BK18 Canarsie-Flatlands (CD 18 Approximation),4318,0.0,0.0114101450231599,4.1110350233747526e-05,0.0826656727707102,0.0,0.0792112469568305,0.0003699323157476,0.5400095505403631,2748,2206,0,107,19,686,647,920,920,891,167857,419,423,578,35,0.0,15.0,9.233735895627644,4536149.010203779,0.0,22078.16174228129,0.004867159719096059,22731.057130269408,0.005011091363872161,36047070601,7,0,0,0,0
Staten Island,5017016,Arden Heights-Rossville,SI03 South Shore (CD 3 Approximation),4503,0.0,0.0028780385496803,1.0456065212903668e-05,0.0195988854377833,0.0,0.1402333139571028,0.0008361398303473,0.7947402816055018,4732,3758,0,289,654,820,703,1592,1404,1409,116635,1040,1040,375,42,8.0,99.0,47.7763262905868,7141414.141905474,0.0,254067.62764776038,0.035576655071283964,337272.7049965746,0.04722771964973641,36085017016,0,0,0,0,0
Bronx,2005600,Soundview-Bruckner-Bronx River,BX09 Soundview-Parkchester (CD 9 Approximation),4209,0.0,0.001071223336384,3.6365989589738434e-06,0.0082624684605103,0.0,0.067391748887594,0.0003126991785577,0.5100853002097151,2311,56,328,1613,91,535,419,953,615,792,39572,346,334,44,288,15.0,62.0,41.49351766106628,1511686.7351811777,0.0,0.0,0.0,0.0,0.0,36005005600,0,0,0,0,0
Bronx,2006200,Soundview-Bruckner-Bronx River,BX09 Soundview-Parkchester (CD 9 Approximation),4209,0.0,0.0017865438631935,5.402119714260409e-05,0.0094341579034144,0.0,0.3304770345119695,0.0179348119345482,0.9582245060041108,6217,82,1875,4260,0,1341,943,2543,1618,1972,30236,1222,350,82,571,6.0,42.0,23.619302303170475,2074860.4493252859,0.0,0.0,0.0,0.0,0.0,36005006200,2,0,0,0,0
Queens,4127700,Jamaica Estates-Holliswood,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),4408,0.0,0.0111296859821252,0.0011435847085549,0.036890178596918,0.0,0.8991051351758634,0.4058531634825835,0.9999999626314507,3198,2077,384,109,410,487,749,1080,1054,1005,140924,234,1002,666,136,0.0,147.0,91.202574778988,11505215.044486888,0.0,0.0,0.0,0.0,0.0,36081127700,0,0,1,0,0
Bronx,2021601,Soundview-Bruckner-Bronx River,BX09 Soundview-Parkchester (CD 9 Approximation),4209,0.0,0.0029780774968225,0.0001280019191504,0.0141743556131335,0.0,0.5166980744625774,0.052829620981293,0.9976490293788268,4421,213,708,3015,405,1276,353,1609,1382,1484,45156,1151,188,150,435,1.0,66.0,34.186158737368004,1761363.81061829,0.0,39125.46499174809,0.022213165023535892,83145.85760051438,0.04720538545147454,36005021601,0,0,0,0,0
Bronx,2021602,Parkchester,BX09 Soundview-Parkchester (CD 9 Approximation),4209,0.0,0.0030772851974283,0.0001425257369824,0.0145021792249227,0.0,0.5055220266901549,0.0531278949489895,0.9962836112030694,6093,168,1707,1790,2085,1313,782,2361,2254,2238,60286,1341,867,567,144,0.0,68.0,35.06148595725635,1788231.2569873075,0.0,15150.688487128189,0.00847244361037121,36735.340719707805,0.020542835595882075,36005021602,0,0,0,0,0
Queens,4138502,Alley Pond Park,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),4411,0.0040355125100887,0.0155062522415723,0.0036767514664766,0.0383047863603396,0.0040355125100887,1.0,1.0,1.0,109,97,0,9,3,0,32,0,0,0,-666666666,0,6,31,0,0.0,228.0,93.19120432551571,26132190.723467212,0.0,25973.361192652817,0.0009939220736410834,27689.73568837388,0.001059602540842776,36081138502,0,0,0,0,0
Queens,4152901,Douglaston-Little Neck,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),4411,0.0037037037037037,0.0027537116575218,2.7686754987168177e-05,0.0153816487721727,0.0037037037037037,0.4858703409689987,0.0148398425239921,0.999768431223212,5891,1614,366,463,3361,829,1466,2283,2051,1757,94250,991,1442,757,287,32.0,239.0,163.20687846844214,15065148.51053228,0.0,0.0,0.0,0.0,0.0,36081152901,0,2,1,0,0
