                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[99]                                    0.001  0.002   0.000    0.005      0.000    0.000    5986.0    8303.0   1.00
p_y[100]                                   0.002  0.004   0.000    0.007      0.000    0.000    6048.0    7436.0   1.00
p_y[101]                                   0.001  0.003   0.000    0.005      0.000    0.000    7412.0    8653.0   1.00
p_y[102]                                   0.001  0.002   0.000    0.005      0.000    0.000    4983.0    5484.0   1.00
p_y[103]                                   0.002  0.002   0.000    0.006      0.000    0.000    7450.0    8501.0   1.00
p_y[104]                                   0.002  0.003   0.000    0.006      0.000    0.000    6157.0    9032.0   1.00
p_y[105]                                   0.001  0.002   0.000    0.004      0.000    0.000    5385.0    8165.0   1.00
p_y[106]                                   0.004  0.006   0.000    0.014      0.000    0.000    5884.0    6948.0   1.00
p_y[107]                                   0.001  0.002   0.000    0.005      0.000    0.000    5586.0    6819.0   1.00
p_y[108]                                   0.002  0.004   0.000    0.008      0.000    0.000    7056.0    8891.0   1.00
p_y[109]                                   0.001  0.003   0.000    0.005      0.000    0.000    5564.0    7170.0   1.00
p_y[110]                                   0.002  0.004   0.000    0.007      0.000    0.000    5352.0    8225.0   1.00
p_y[111]                                   0.002  0.003   0.000    0.006      0.000    0.000    4499.0    5027.0   1.00
p_y[112]                                   0.002  0.004   0.000    0.009      0.000    0.000    7916.0    8757.0   1.00
p_y[113]                                   0.003  0.006   0.000    0.009      0.000    0.000    6997.0    7605.0   1.00
p_y[114]                                   0.006  0.009   0.000    0.023      0.000    0.000    4643.0    5685.0   1.00
p_y[115]                                   0.003  0.006   0.000    0.012      0.000    0.000    4871.0    5795.0   1.00
p_y[116]                                   0.006  0.007   0.000    0.018      0.000    0.000    6663.0    8038.0   1.00
p_y[117]                                   0.001  0.003   0.000    0.005      0.000    0.000    5593.0    8065.0   1.00
p_y[118]                                   0.001  0.002   0.000    0.004      0.000    0.000    6727.0    8686.0   1.00
p_y[119]                                   0.002  0.004   0.000    0.007      0.000    0.000    6267.0    8339.0   1.00
p_y[120]                                   0.001  0.002   0.000    0.003      0.000    0.000    5499.0    8275.0   1.00
p_y[121]                                   0.001  0.002   0.000    0.003      0.000    0.000    5723.0    7310.0   1.00
p_y[122]                                   0.002  0.003   0.000    0.006      0.000    0.000    7135.0    8441.0   1.00
p_y[123]                                   0.002  0.004   0.000    0.006      0.000    0.000    6183.0    8979.0   1.00
p_y[124]                                   0.002  0.003   0.000    0.006      0.000    0.000    5953.0    7263.0   1.00
p_y[125]                                   0.013  0.013   0.000    0.036      0.000    0.000    6509.0    6221.0   1.00
p_y[126]                                   0.002  0.003   0.000    0.006      0.000    0.000    5984.0    6391.0   1.00
p_y[127]                                   0.002  0.004   0.000    0.006      0.000    0.000    4857.0    7316.0   1.00
p_y[128]                                   0.003  0.006   0.000    0.012      0.000    0.000    4997.0    7275.0   1.00
p_y[129]                                   0.001  0.003   0.000    0.004      0.000    0.000    4297.0    7696.0   1.00
p_y[130]                                   0.001  0.003   0.000    0.004      0.000    0.000    4640.0    7373.0   1.00
p_y[131]                                   0.001  0.003   0.000    0.005      0.000    0.000    4821.0    7495.0   1.00
p_y[132]                                   0.001  0.002   0.000    0.003      0.000    0.000    3955.0    7107.0   1.00
