geoid,tract_id,empirical_estimate,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,n_images_by_area
36061016200.0,36061016200.0,0.0004923682914820286,1.0,1.0,1.0,2031
36061016400.0,36061016400.0,0.0,0.3441979039322554,0.00885614608979142,0.9888423394165066,447
36061016500.0,36061016500.0,0.0,0.4221031759799556,0.014702436678659527,0.9956647820755705,815
36061016600.0,36061016600.0,0.0030864197530864196,0.43638712903718935,0.01297623865458345,0.9990577204129404,324
36061016900.0,36061016900.0,0.0,0.38426840784957744,0.010435261176694044,0.993392318976148,664
36061017000.0,36061017000.0,0.0,0.35898203173214455,0.0074913869526721105,0.9929555108994262,394
36061017100.0,36061017100.0,0.0,0.3134299698616549,0.004302656612332695,0.987370136460634,535
36061017200.0,36061017200.0,0.0,0.2948932553626855,0.012077608815949301,0.9588487131220956,264
36061017300.0,36061017300.0,0.0,0.35788110818167834,0.0072792496228881514,0.9915043802017998,478
36061017401.0,36061017401.0,0.0,0.3435593717777947,0.009269707604424771,0.9841397667569137,299
36061017402.0,36061017402.0,0.0,0.2104218976765519,0.00326608707866248,0.9167300071582665,149
36061017500.0,36061017500.0,0.004081632653061225,0.6095125893500988,0.005944319716656929,0.9999998696421732,490
36061017700.0,36061017700.0,0.002150537634408602,0.46676014266120164,0.007172820571212252,0.9998860290684813,465
36061018000.0,36061018000.0,0.002053388090349076,1.0,1.0,1.0,487
36061018100.0,36061018100.0,0.0,0.312825825882168,0.005733799098112796,0.9856378643651993,517
36061018400.0,36061018400.0,0.0,0.3130924070407348,0.010983085159895673,0.9684311056717626,520
36061018600.0,36061018600.0,0.006993006993006993,0.17240180606644553,0.003001939482672955,0.8256883439283158,143
36061018700.0,36061018700.0,0.0,0.2531822270155013,0.002324631217296086,0.9681230638433892,577
36061019300.0,36061019300.0,0.0,0.3112939504070782,0.01028596848383111,0.9684942774320229,606
36061019600.0,36061019600.0,0.0,0.4037555246568503,0.01843972579734523,0.9917785272118972,552
36061019702.0,36061019702.0,0.0,0.2091227307225644,0.003126995685462289,0.9092456798018318,214
36061019900.0,36061019900.0,0.0,0.28357365160588877,0.004991803442106849,0.9699074298342173,363
36061020500.0,36061020500.0,0.004210526315789474,1.0,1.0,1.0,475
36061020600.0,36061020600.0,0.0,0.3176675772191199,0.009176256233682619,0.9790809104183715,373
36061020701.0,36061020701.0,0.0,0.09766704033446365,0.0009910432300530181,0.6052800679842596,84
36061020800.0,36061020800.0,0.004975124378109453,0.27407134050208387,0.0038720114038725524,0.9791718241981924,201
36061021303.0,36061021303.0,0.0,0.1344341871713589,0.0021909857942445043,0.7160535890968012,178
36061021500.0,36061021500.0,0.0,0.09345811437004388,0.0013227994924146502,0.5578458195830677,104
36061021600.0,36061021600.0,0.0,0.24027589090266574,0.006320249945356277,0.9185793494813901,324
36061021703.0,36061021703.0,0.0,0.09491706252357296,0.002764797855449766,0.495946898723844,128
36061021800.0,36061021800.0,0.0,0.24128436653291074,0.005532802672300071,0.9331960491873547,431
