BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,empirical_estimate,p_y,p_y_CI_lower,p_y_CI_upper,n_images_by_area,empirical_estimate_p_alop,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,n_children,n_elderly,total_households,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,n_catch_basins,catch_basin_density,cb_days_clogged,has_clogged_cb_complaint,cb_avg_resolution_time,dep_moderate_1_area,dep_moderate_1_frac,dep_moderate_2_area,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Staten Island,5013204,Oakwood-Richmondtown,SI03 South Shore (CD 3 Approximation),4503,0.0,0.0013143818449263,1.060225405539361e-06,0.0100932467657923,12,0.0,0.013944949373569,1.2722630677866608e-05,0.1146164581328597,5090,3342,12,786,680,1518,808,1788,1751,1642,105833.0,962,847,332,183,6.0,89.0,38.92947430176537,11249698.74310347,0.0,177.0,1.5733754657964357e-05,6.0,1,1.0,461486.5667601281,0.041022126662995165,531453.2101609749,0.047241550400340955,36085013204,4,0,3,0,0
Staten Island,5013201,Oakwood-Richmondtown,SI03 South Shore (CD 3 Approximation),4503,0.0,0.0020474869218239,9.372281223075763e-07,0.0156277713317931,11,0.0,0.0181003535501052,1.0309461033455869e-05,0.1590834869696052,1589,1372,47,99,45,356,358,520,491,474,135500.0,283,243,199,12,0.0,67.0,28.105885844297163,5054384.956399337,0.0,113.0,2.2356825009328016e-05,0.0,1,0.0,295983.8428836368,0.05855981399060094,461621.09682391165,0.09133081488766599,36085013201,0,0,1,0,0
Staten Island,5013800,Oakwood-Richmondtown,SI03 South Shore (CD 3 Approximation),4503,0.0,0.0005001969945231,5.082638589538406e-07,0.0036145544744014,29,0.0,0.012889341231246,1.4739547026643152e-05,0.0996862632841583,6235,4843,4,716,368,1065,1657,2484,2352,2306,149661.0,1486,1096,925,36,13.0,104.0,59.27364182454287,15149408.341510631,0.0,268.0,1.7690459848894418e-05,7.0,1,1.75,481074.13084689924,0.031755308194361384,704121.5024215815,0.04647848196765747,36085013800,3,2,0,0,0
Manhattan,1011700,Chelsea-Hudson Yards,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),4104,0.0032362459546925,0.0114807317038146,0.0004528578105415,0.0487836736185782,309,0.0032362459546925,1.0,1.0,1.0,5051,2790,247,819,896,362,191,3364,3347,3296,114517.0,66,2269,1488,186,0.0,33.0,7.604120547393842,2125062.86123174,0.0,33.0,1.552895239102356e-05,0.0,0,0.0,192760.0010538861,0.09070790543210451,303300.44207276485,0.14272539773104137,36061011700,0,0,0,0,0
Manhattan,1012901,Hell's Kitchen,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),4104,0.0,0.0047978286044335,8.47314466602668e-05,0.0253707825622825,318,0.0,0.5207169127588568,0.0265859440396598,0.9997175525560058,7091,3411,275,1132,1772,698,265,4544,4309,4443,120911.0,366,2921,2032,426,0.0,35.0,6.39345754957916,2303152.211811183,0.0,34.0,1.4762376461980615e-05,1.0,1,1.0,163913.37822278094,0.0711691469552855,259611.32765373396,0.11272000448879468,36061012901,0,0,0,0,0
Brooklyn,3017100,Windsor Terrace-South Slope,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),4307,0.0,0.0262505994453286,0.0003166463023855,0.1593153620684551,36,0.0,0.3896125953600607,0.0113363261015786,0.9980645050169644,4195,2746,7,794,230,1216,550,1649,1569,1526,168973.0,167,1059,1243,25,89.0,162.0,128.07395541316245,2247116.1340631098,0.0,38.0,1.6910563465756674e-05,5.0,1,1.25,0.0,0.0,0.0,0.0,36047017100,8,0,0,0,0
Brooklyn,3050202,Windsor Terrace-South Slope,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),4307,0.0196078431372549,0.0564485394045825,0.0019696567272961,0.2428114274062746,51,0.0196078431372549,0.723340121765474,0.0956615086147533,0.999999309113666,2281,1514,57,274,209,436,593,1114,810,867,96310.0,284,681,463,65,58.0,123.0,75.79898043538165,1451578.443969475,0.0,26.0,1.7911536305885476e-05,0.0,0,0.0,0.0,0.0,0.0,0.0,36047050202,1,0,0,0,0
Brooklyn,3050001,Windsor Terrace-South Slope,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),4307,0.0,0.0115839693554663,0.000409385358413,0.0569378451060338,102,0.0,0.4890350894652651,0.0409056798204631,0.9974700477203792,2279,1377,148,260,314,398,531,947,812,824,120787.0,319,529,562,26,28.0,72.0,57.4499966950889,1513121.300451096,0.0,44.0,2.9078964116678946e-05,9.0,1,2.25,0.0,0.0,0.0,0.0,36047050001,0,0,0,0,0
Brooklyn,3150200,Windsor Terrace-South Slope,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),4307,0.002415458937198,0.0075898708884555,0.0003503662712955,0.03164450697107,414,0.002415458937198,0.7484757176724863,0.1350443567430612,0.9999983464561064,2807,2303,112,275,90,886,327,1072,1052,1043,126364.0,297,680,611,10,59.0,181.0,118.0873582650771,3430775.0440439354,0.0,84.0,2.4484263445319695e-05,3.0,1,0.42857142857142855,0.0,0.0,0.0,0.0,36047150200,0,0,1,0,0
Queens,4056400,Queens Village,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),4413,0.0,0.0012844134651167,4.825699369696649e-06,0.0087279146559874,22,0.0,0.0246655882797964,0.0001061600069231,0.1754000931414318,1493,236,121,449,333,244,331,487,368,393,76875.0,269,116,59,40,70.0,88.0,81.9940764142561,2025674.5068816578,0.0,75.0,3.702470448495484e-05,1.0,1,1.0,0.0,0.0,0.0,0.0,36081056400,0,0,0,0,0
